datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.069857,0.076255,0.06903,0.074771,5497.0,1064280.0
"Jan 02, 2017",0.074793,0.076816,0.071466,0.073973,15781.0,1139490.0
"Jan 03, 2017",0.073973,0.078533,0.07173,0.073552,9442.0,1127030.0
"Jan 04, 2017",0.073592,0.078576,0.073592,0.078258,8074.0,1218030.0
"Jan 05, 2017",0.078393,0.087073,0.045053,0.067258,6130.0,1320120.0
"Jan 06, 2017",0.067316,0.069332,0.056856,0.060895,1790.0,1163040.0
"Jan 07, 2017",0.060982,0.060982,0.050648,0.053847,2929.0,1076510.0
"Jan 08, 2017",0.053823,0.062528,0.053248,0.059341,1518.0,968489.0
"Jan 09, 2017",0.059474,0.063631,0.028105,0.030608,3090.0,1070200.0
"Jan 10, 2017",0.030595,0.063697,0.030584,0.045893,6072.0,550540.0
"Jan 11, 2017",0.045893,0.054293,0.033562,0.036196,4878.0,886202.0
"Jan 12, 2017",0.035754,0.049988,0.034669,0.036796,5720.0,695764.0
"Jan 13, 2017",0.036746,0.054232,0.034317,0.035354,3759.0,729757.0
"Jan 14, 2017",0.035403,0.050024,0.03351,0.033769,6941.0,721154.0
"Jan 15, 2017",0.033745,0.04492,0.032413,0.034494,4043.0,716982.0
"Jan 16, 2017",0.034492,0.040844,0.029539,0.040827,5247.0,789705.0
"Jan 17, 2017",0.040798,0.045698,0.033128,0.038822,5829.0,946453.0
"Jan 18, 2017",0.038883,0.052405,0.029833,0.046238,15213.0,953196.0
"Jan 19, 2017",0.046238,0.049769,0.043943,0.049166,6259.0,1140430.0
"Jan 20, 2017",0.049097,0.049336,0.043417,0.044505,5077.0,1237830.0
"Jan 21, 2017",0.044505,0.048774,0.04323,0.046345,12161.0,1144570.0
"Jan 22, 2017",0.046365,0.048142,0.039219,0.046901,5960.0,1199800.0
"Jan 23, 2017",0.046997,0.047232,0.04131,0.042568,7584.0,1224720.0
"Jan 24, 2017",0.042064,0.046622,0.038962,0.041619,5099.0,1096190.0
"Jan 25, 2017",0.041583,0.04518,0.034591,0.036055,14816.0,1138390.0
"Jan 26, 2017",0.036089,0.043916,0.036082,0.041072,5557.0,1000370.0
"Jan 27, 2017",0.041072,0.045858,0.041072,0.044728,3785.0,1160990.0
"Jan 28, 2017",0.044555,0.046326,0.037243,0.042047,6486.0,1282010.0
"Jan 29, 2017",0.041836,0.045028,0.03838,0.039853,6862.0,1210440.0
"Jan 30, 2017",0.03987,0.044816,0.036843,0.039483,5399.0,1160840.0
"Jan 31, 2017",0.037934,0.044468,0.036996,0.041741,5158.0,1104530.0
"Feb 01, 2017",0.041741,0.041873,0.036566,0.037018,5660.0,1270300.0
"Feb 02, 2017",0.03701,0.042139,0.03701,0.038537,8662.0,1139050.0
"Feb 03, 2017",0.039056,0.041969,0.034957,0.0409,5108.0,1223420.0
"Feb 04, 2017",0.041023,0.041393,0.034921,0.037283,3547.0,1305790.0
"Feb 05, 2017",0.037305,0.054676,0.037305,0.048339,16441.0,1193400.0
"Feb 06, 2017",0.050361,0.050857,0.039148,0.04678,5108.0,1625200.0
"Feb 07, 2017",0.046473,0.050856,0.034881,0.038918,8217.0,1499790.0
"Feb 08, 2017",0.039323,0.051626,0.036031,0.041594,7475.0,1320810.0
"Feb 09, 2017",0.042012,0.051029,0.032816,0.034132,6734.0,1425550.0
"Feb 10, 2017",0.034278,0.045665,0.034238,0.036701,5665.0,1181930.0
"Feb 11, 2017",0.038257,0.041847,0.035343,0.037607,2687.0,1338490.0
"Feb 12, 2017",0.037572,0.043202,0.033228,0.041923,37351.0,1323580.0
"Feb 13, 2017",0.041911,0.042542,0.034521,0.040822,9691.0,1488200.0
"Feb 14, 2017",0.040867,0.0415,0.036713,0.0377,6343.0,1451180.0
"Feb 15, 2017",0.037763,0.05577,0.036006,0.055396,46449.0,1390650.0
"Feb 16, 2017",0.055402,0.057035,0.046233,0.050591,30954.0,2059310.0
"Feb 17, 2017",0.050568,0.056756,0.050548,0.053657,46038.0,1883900.0
"Feb 18, 2017",0.053705,0.057091,0.046451,0.056228,36757.0,2000840.0
"Feb 19, 2017",0.056233,0.059345,0.042733,0.048442,26486.0,2095110.0
"Feb 20, 2017",0.048453,0.057413,0.048417,0.057405,27467.0,1805320.0
"Feb 21, 2017",0.057401,0.057687,0.046394,0.055799,40493.0,2138840.0
"Feb 22, 2017",0.055792,0.056549,0.049467,0.050247,36167.0,2338760.0
"Feb 23, 2017",0.050066,0.05645,0.050033,0.051699,33128.0,2116940.0
"Feb 24, 2017",0.051792,0.054346,0.051378,0.053064,28632.0,2220260.0
"Feb 25, 2017",0.053006,0.059109,0.052888,0.056335,41763.0,2303420.0
"Feb 26, 2017",0.056337,0.0564,0.048825,0.052667,47134.0,2461860.0
"Feb 27, 2017",0.052653,0.054761,0.051656,0.053154,50758.0,2315660.0
"Feb 28, 2017",0.053161,0.056527,0.052777,0.052777,17929.0,2338100.0
"Mar 01, 2017",0.052298,0.054526,0.052298,0.053749,30373.0,2366910.0
"Mar 02, 2017",0.053782,0.053833,0.050386,0.051441,36624.0,2453850.0
"Mar 03, 2017",0.051437,0.052431,0.048514,0.051416,58187.0,2380470.0
"Mar 04, 2017",0.051463,0.051517,0.049015,0.049546,15794.0,2411940.0
"Mar 05, 2017",0.04953,0.050726,0.047909,0.0499,19196.0,2333350.0
"Mar 06, 2017",0.049904,0.050893,0.046279,0.05005,24640.0,2365010.0
"Mar 07, 2017",0.050227,0.050603,0.047595,0.047942,29865.0,2380400.0
"Mar 08, 2017",0.0479,0.05486,0.046961,0.053471,35585.0,2333180.0
"Mar 09, 2017",0.053704,0.05392,0.043491,0.0492,72984.0,2635630.0
"Mar 10, 2017",0.049215,0.05144,0.047347,0.050102,44258.0,2449650.0
"Mar 11, 2017",0.050099,0.051405,0.046804,0.047186,34707.0,2523070.0
"Mar 12, 2017",0.047198,0.049613,0.044463,0.04876,37108.0,2388390.0
"Mar 13, 2017",0.04863,0.050194,0.046683,0.046695,54907.0,2475200.0
"Mar 14, 2017",0.046699,0.047187,0.043383,0.043647,47283.0,2377010.0
"Mar 15, 2017",0.043649,0.046375,0.042977,0.045513,41242.0,2279220.0
"Mar 16, 2017",0.045527,0.045637,0.035192,0.035825,15050.0,2393540.0
"Mar 17, 2017",0.035704,0.044046,0.035323,0.0418,41283.0,1902390.0
"Mar 18, 2017",0.041795,0.046794,0.035415,0.042435,55181.0,2248910.0
"Mar 19, 2017",0.042446,0.042543,0.037274,0.037627,24865.0,2297930.0
"Mar 20, 2017",0.037631,0.043797,0.03287,0.036168,70420.0,2047840.0
"Mar 21, 2017",0.036175,0.040223,0.034008,0.036353,13165.0,1968680.0
"Mar 22, 2017",0.036356,0.038395,0.033115,0.034443,35934.0,2028180.0
"Mar 23, 2017",0.034447,0.036162,0.032183,0.0322,29502.0,1934720.0
"Mar 24, 2017",0.032199,0.034607,0.027656,0.027656,14579.0,1832680.0
"Mar 25, 2017",0.027612,0.028721,0.026915,0.027456,22895.0,1586490.0
"Mar 26, 2017",0.027429,0.037132,0.020707,0.034193,51321.0,1585470.0
"Mar 27, 2017",0.034248,0.035135,0.027043,0.029844,30309.0,1989180.0
"Mar 28, 2017",0.029835,0.031033,0.029698,0.029885,45166.0,1732940.0
"Mar 29, 2017",0.029864,0.030506,0.027451,0.029145,43081.0,1773860.0
"Mar 30, 2017",0.029158,0.030215,0.027159,0.028591,33147.0,1742320.0
"Mar 31, 2017",0.028591,0.029947,0.027026,0.029674,37554.0,1729570.0
"Apr 01, 2017",0.029598,0.031331,0.029312,0.029322,37637.0,1808580.0
"Apr 02, 2017",0.029325,0.031401,0.029325,0.030853,26129.0,1799790.0
"Apr 03, 2017",0.030856,0.032104,0.030587,0.030924,35656.0,1901750.0
"Apr 04, 2017",0.030937,0.033634,0.025888,0.031064,49595.0,1907520.0
"Apr 05, 2017",0.041856,0.04246,0.024326,0.02433,23701.0,2635960.0
"Apr 06, 2017",0.031441,0.033605,0.026835,0.029306,68388.0,1991640.0
"Apr 07, 2017",0.029298,0.037841,0.029053,0.037841,51843.0,1877180.0
"Apr 08, 2017",0.037832,0.037991,0.024072,0.03109,74969.0,2446400.0
"Apr 09, 2017",0.031092,0.031162,0.028448,0.028527,19454.0,2030640.0
"Apr 10, 2017",0.028523,0.035756,0.028479,0.03469,51986.0,1875900.0
"Apr 11, 2017",0.034693,0.038054,0.032028,0.03208,80216.0,2281760.0
"Apr 12, 2017",0.032079,0.035541,0.028028,0.030769,89161.0,2123430.0
"Apr 13, 2017",0.03079,0.030877,0.023948,0.025915,9644.0,2038130.0
"Apr 14, 2017",0.02593,0.028461,0.024107,0.024147,12333.0,1773060.0
"Apr 15, 2017",0.024143,0.027392,0.023647,0.026419,13021.0,1665640.0
"Apr 16, 2017",0.02642,0.026723,0.023528,0.024897,11046.0,1831440.0
"Apr 17, 2017",0.0249,0.025477,0.022573,0.022896,10787.0,1733110.0
"Apr 18, 2017",0.022895,0.027956,0.022725,0.02776,37252.0,1593590.0
"Apr 19, 2017",0.027762,0.02805,0.021111,0.025252,22801.0,1955670.0
"Apr 20, 2017",0.025258,0.025535,0.020932,0.023825,25537.0,1802980.0
"Apr 21, 2017",0.023827,0.032014,0.023827,0.03104,27499.0,1713760.0
"Apr 22, 2017",0.031025,0.037951,0.015912,0.016212,19831.0,2255890.0
"Apr 23, 2017",0.016216,0.042497,0.01612,0.038553,46135.0,1184050.0
"Apr 24, 2017",0.038622,0.041048,0.026934,0.040807,54776.0,2831020.0
"Apr 25, 2017",0.040812,0.044674,0.036318,0.039091,21726.0,2991680.0
"Apr 26, 2017",0.039077,0.039077,0.0194,0.023864,21338.0,2915980.0
"Apr 27, 2017",0.030263,0.034762,0.030263,0.034447,31538.0,2269590.0
"Apr 28, 2017",0.034334,0.035311,0.020386,0.023103,26084.0,2601870.0
"Apr 29, 2017",0.023381,0.042891,0.022858,0.041695,52612.0,1783470.0
"Apr 30, 2017",0.041503,0.042149,0.036304,0.039391,26818.0,3170960.0
"May 01, 2017",0.039381,0.040128,0.020583,0.036725,36235.0,3008960.0
"May 02, 2017",0.036883,0.04048,0.014946,0.028773,21693.0,2821160.0
"May 03, 2017",0.028792,0.029298,0.020966,0.021867,9831.0,2230960.0
"May 04, 2017",0.021872,0.030203,0.018598,0.027924,41581.0,1723880.0
"May 05, 2017",0.027978,0.032202,0.01397,0.025184,43533.0,2227610.0
"May 06, 2017",0.025338,0.025833,0.015454,0.015753,6322.0,2029400.0
"May 07, 2017",0.015759,0.023973,0.015759,0.018408,29588.0,1270110.0
"May 08, 2017",0.018431,0.027354,0.017857,0.026278,26386.0,1490620.0
"May 09, 2017",0.026233,0.028096,0.014071,0.025262,26733.0,2121740.0
"May 10, 2017",0.025212,0.037971,0.023678,0.026285,33928.0,2070770.0
"May 11, 2017",0.026042,0.026584,0.015969,0.017289,8782.0,2141820.0
"May 12, 2017",0.017302,0.021553,0.017302,0.019157,15753.0,1422980.0
"May 13, 2017",0.019039,0.01905,0.013997,0.018346,25896.0,1565830.0
"May 14, 2017",0.018412,0.020064,0.018103,0.018356,16699.0,1514260.0
"May 15, 2017",0.01837,0.018734,0.011096,0.012634,15495.0,1510810.0
"May 16, 2017",0.012652,0.016948,0.012513,0.016286,10075.0,1040560.0
"May 17, 2017",0.01629,0.017652,0.013966,0.016674,28237.0,1339740.0
"May 18, 2017",0.016629,0.020095,0.016569,0.020045,38785.0,1367670.0
"May 19, 2017",0.020005,0.020635,0.017959,0.020464,40896.0,1710150.0
"May 20, 2017",0.020421,0.02189,0.019947,0.021324,37114.0,1745700.0
"May 21, 2017",0.021276,0.023532,0.020815,0.023203,58703.0,1818850.0
"May 22, 2017",0.023203,0.026263,0.02142,0.022867,52125.0,1983600.0
"May 23, 2017",0.022905,0.025027,0.022317,0.024356,32865.0,1958050.0
"May 24, 2017",0.02439,0.025687,0.021717,0.024396,62649.0,2084990.0
"May 25, 2017",0.024376,0.031781,0.023293,0.025729,83737.0,2083790.0
"May 26, 2017",0.025578,0.036548,0.025409,0.02593,134198.0,2186590.0
"May 27, 2017",0.025838,0.028015,0.021272,0.025583,67580.0,2208780.0
"May 28, 2017",0.025755,0.030095,0.02518,0.028407,47925.0,2201720.0
"May 29, 2017",0.028392,0.031916,0.027048,0.031301,67690.0,2427150.0
"May 30, 2017",0.031398,0.034095,0.029199,0.033068,55832.0,2684150.0
"May 31, 2017",0.033092,0.034282,0.028268,0.033848,95981.0,2828910.0
"Jun 01, 2017",0.033756,0.035596,0.027849,0.028361,33221.0,2885650.0
"Jun 02, 2017",0.028392,0.031616,0.022535,0.027421,92518.0,2427130.0
"Jun 03, 2017",0.027499,0.027598,0.021575,0.021973,16731.0,2350780.0
"Jun 04, 2017",0.021916,0.024937,0.021187,0.024036,36306.0,1873510.0
"Jun 05, 2017",0.024057,0.025128,0.017183,0.02228,24323.0,2140110.0
"Jun 06, 2017",0.022185,0.02219,0.016587,0.018283,31588.0,1973570.0
"Jun 07, 2017",0.018285,0.019876,0.014062,0.015886,21096.0,1626620.0
"Jun 08, 2017",0.015784,0.016319,0.01374,0.013884,7841.0,1404170.0
"Jun 09, 2017",0.013584,0.016218,0.012981,0.015373,19363.0,1208420.0
"Jun 10, 2017",0.015383,0.018548,0.01525,0.016614,23225.0,1368440.0
"Jun 11, 2017",0.016568,0.016895,0.011993,0.013637,3192.0,1473850.0
"Jun 12, 2017",0.01313,0.016855,0.01313,0.015201,16216.0,1168070.0
"Jun 13, 2017",0.015015,0.018605,0.010409,0.018502,27334.0,1335730.0
"Jun 14, 2017",0.018517,0.02037,0.009579,0.011328,5059.0,1647230.0
"Jun 15, 2017",0.011258,0.014261,0.009983,0.013402,10738.0,1001510.0
"Jun 16, 2017",0.013321,0.013853,0.007423,0.010221,5309.0,1226500.0
"Jun 17, 2017",0.01042,0.01534,0.007966,0.013695,11911.0,959403.0
"Jun 18, 2017",0.013757,0.015397,0.007057,0.010574,5475.0,1266610.0
"Jun 19, 2017",0.010616,0.011053,0.007293,0.007412,3781.0,977421.0
"Jun 20, 2017",0.007545,0.014688,0.006625,0.0142,9343.0,694705.0
"Jun 21, 2017",0.014255,0.014278,0.008582,0.008776,2769.0,1312450.0
"Jun 22, 2017",0.008686,0.012552,0.008686,0.012046,9021.0,799777.0
"Jun 23, 2017",0.012071,0.012118,0.009929,0.010048,3354.0,1111410.0
"Jun 24, 2017",0.010039,0.01127,0.008626,0.008758,3363.0,924334.0
"Jun 25, 2017",0.008783,0.014266,0.007417,0.008383,4958.0,842707.0
"Jun 26, 2017",0.007823,0.009514,0.006227,0.008264,3315.0,750626.0
"Jun 27, 2017",0.008377,0.008868,0.006188,0.006845,4714.0,803800.0
"Jun 28, 2017",0.006871,0.008711,0.006631,0.007829,1403.0,659256.0
"Jun 29, 2017",0.007833,0.008562,0.006952,0.006952,2150.0,751621.0
"Jun 30, 2017",0.006962,0.007522,0.005288,0.00687,2395.0,668050.0
"Jul 01, 2017",0.006884,0.006904,0.005147,0.005827,2654.0,660555.0
"Jul 02, 2017",0.005828,0.005884,0.003807,0.004023,2541.0,559244.0
"Jul 03, 2017",0.004008,0.004306,0.002809,0.003141,3214.0,396120.0
"Jul 04, 2017",0.003134,0.005388,0.00292,0.004888,2372.0,309777.0
"Jul 05, 2017",0.004947,0.005038,0.003184,0.003556,2593.0,488907.0
"Jul 06, 2017",0.003558,0.0052,0.003541,0.004128,2957.0,351626.0
"Jul 07, 2017",0.004124,0.004131,0.003062,0.003707,2986.0,407601.0
"Jul 08, 2017",0.003716,0.003752,0.002685,0.003432,7805.0,375448.0
"Jul 09, 2017",0.003435,0.004656,0.002825,0.002935,6960.0,347114.0
"Jul 10, 2017",0.00294,0.003128,0.002528,0.002881,3363.0,297032.0
"Jul 11, 2017",0.002876,0.003718,0.002631,0.002736,709.0,290616.0
"Jul 12, 2017",0.002724,0.002743,0.001921,0.001968,2378.0,275281.0
"Jul 13, 2017",0.001969,0.002821,0.001788,0.002817,2280.0,198950.0
"Jul 14, 2017",0.002816,0.002962,0.001514,0.001725,4119.0,284566.0
"Jul 15, 2017",0.001722,0.002323,0.001025,0.001317,7754.0,174027.0
"Jul 16, 2017",0.001313,0.002365,0.001301,0.002351,1981.0,140853.0
"Jul 17, 2017",0.002338,0.002567,0.001213,0.001877,2169.0,250739.0
"Jul 18, 2017",0.001882,0.001886,0.001037,0.001429,5604.0,201798.0
"Jul 19, 2017",0.001431,0.001467,0.000974,0.000978,5812.0,153433.0
"Jul 20, 2017",0.000975,0.001323,0.000881,0.001073,3495.0,104567.0
"Jul 21, 2017",0.00108,0.002445,0.000909,0.002228,3018.0,115868.0
"Jul 22, 2017",0.002229,0.00228,0.000858,0.000983,2996.0,239116.0
"Jul 23, 2017",0.000983,0.001249,0.000843,0.000848,3032.0,105420.0
"Jul 24, 2017",0.000846,0.001035,0.000752,0.000754,2558.0,90698.0
"Jul 25, 2017",0.000754,0.001063,0.000711,0.001021,2621.0,83761.0
"Jul 26, 2017",0.001021,0.001052,0.000644,0.00073,4045.0,113411.0
"Jul 27, 2017",0.000731,0.000753,0.000512,0.000631,2960.0,81252.0
"Jul 28, 2017",0.000633,0.00082,0.000565,0.000568,498.0,70303.0
"Jul 29, 2017",0.000566,0.00067,0.00046,0.000547,1404.0,62843.0
"Jul 30, 2017",0.000547,0.00056,0.000412,0.000541,3137.0,60793.0
"Jul 31, 2017",0.000542,0.000939,0.000537,0.000887,711.0,60186.0
"Aug 01, 2017",0.000887,0.00359,0.000402,0.000506,1369.0,98557.0
"Aug 02, 2017",0.000505,0.00079,0.000467,0.000619,1092.0,61800.0
"Aug 03, 2017",0.00062,0.000625,0.000424,0.000504,893.0,75791.0
"Aug 04, 2017",0.000504,0.000746,0.000459,0.000676,1233.0,61681.0
"Aug 05, 2017",0.000675,0.000707,0.000557,0.000618,1052.0,82586.0
"Aug 06, 2017",0.000618,0.001007,0.000589,0.000986,659.0,75546.0
"Aug 07, 2017",0.000984,0.000984,0.000521,0.000522,2283.0,120287.0
"Aug 08, 2017",0.000522,0.000619,0.000443,0.000512,2911.0,63858.0
"Aug 09, 2017",0.000511,0.00065,0.000451,0.000568,5223.0,62509.0
"Aug 10, 2017",0.000569,0.00078,0.000504,0.000578,4986.0,69517.0
"Aug 11, 2017",0.000578,0.00061,0.000463,0.000509,5663.0,70708.0
"Aug 12, 2017",0.000508,0.000546,0.000466,0.000496,1693.0,62172.0
"Aug 13, 2017",0.000496,0.000548,0.000381,0.000451,4334.0,60652.0
"Aug 14, 2017",0.000451,0.000497,0.000349,0.000434,3205.0,66771.0
"Aug 15, 2017",0.000435,0.000439,0.000253,0.000423,4186.0,64388.0
"Aug 16, 2017",0.000423,0.000844,0.000355,0.000437,1806.0,62695.0
"Aug 17, 2017",0.000437,0.000812,0.000419,0.000444,3411.0,64721.0
"Aug 18, 2017",0.000472,0.00054,0.000384,0.000395,2716.0,69831.0
"Aug 19, 2017",0.000395,0.000465,0.000318,0.000414,3156.0,58499.0
"Aug 20, 2017",0.000412,0.000476,0.000385,0.000461,1674.0,61029.0
