datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 01, 2017",0.000949,0.001623,0.00059,0.001415,1409.0,0.0
"Jun 02, 2017",0.001416,0.001922,0.00048,0.001733,724.0,619101.0
"Jun 03, 2017",0.001732,0.001735,0.000652,0.00122,154.0,757868.0
"Jun 04, 2017",0.001216,0.001767,0.000897,0.001082,180.0,532330.0
"Jun 05, 2017",0.001082,0.001311,0.000818,0.001209,253.0,473827.0
"Jun 06, 2017",0.001213,0.001491,0.000929,0.001376,1091.0,531152.0
"Jun 07, 2017",0.001376,0.001464,0.000868,0.00091,173.0,602944.0
"Jun 08, 2017",0.000915,0.001638,0.000888,0.001487,536.0,401040.0
"Jun 09, 2017",0.001485,0.001634,0.001177,0.001319,328.0,651127.0
"Jun 10, 2017",0.001237,0.001672,0.001083,0.001128,130.0,542532.0
"Jun 11, 2017",0.001128,0.001819,0.001094,0.001162,110.0,494930.0
"Jun 12, 2017",0.00116,0.00203,0.001111,0.001378,224.0,509383.0
"Jun 13, 2017",0.001374,0.001905,0.001213,0.001355,113.0,603374.0
"Jun 14, 2017",0.001354,0.001616,0.001064,0.001229,79.0,595038.0
"Jun 15, 2017",0.001376,0.001402,0.001043,0.001184,115.0,605021.0
"Jun 16, 2017",0.001183,0.001483,0.001049,0.001124,164.0,520218.0
"Jun 17, 2017",0.001124,0.001274,0.000949,0.001099,49.0,494630.0
"Jun 18, 2017",0.001099,0.001699,0.001049,0.001699,149.0,483841.0
"Jun 19, 2017",0.001124,0.001674,0.001124,0.001349,45.0,495047.0
"Jun 20, 2017",0.001349,0.001574,0.001099,0.001574,426.0,594306.0
"Jun 21, 2017",0.001574,0.001574,0.001174,0.001399,1109.0,693646.0
"Jun 22, 2017",0.001399,0.002048,0.001099,0.001749,522.0,616828.0
"Jun 23, 2017",0.001898,0.002185,0.001424,0.001937,289.0,837464.0
"Jun 24, 2017",0.001937,0.001958,0.001622,0.001723,99.0,854832.0
"Jun 25, 2017",0.001719,0.002104,0.001357,0.001789,210.0,758847.0
"Jun 26, 2017",0.001788,0.001816,0.001332,0.001428,8.0,789676.0
"Jun 27, 2017",0.001462,0.001772,0.001398,0.001772,52.0,645805.0
"Jun 28, 2017",0.001784,0.001784,0.001624,0.001635,83.0,788521.0
"Jun 29, 2017",0.001634,0.001793,0.001066,0.001137,139.0,722416.0
"Jun 30, 2017",0.001139,0.001211,0.001002,0.001055,51.0,504092.0
"Jul 01, 2017",0.001054,0.00107,0.000955,0.000987,329.0,466599.0
"Jul 02, 2017",0.000987,0.001246,0.000951,0.001224,32.0,436953.0
"Jul 03, 2017",0.00122,0.001316,0.00121,0.001297,87.0,540327.0
"Jul 04, 2017",0.001294,0.001338,0.001248,0.001322,307.0,573243.0
