datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.03491,0.036553,0.034035,0.034231,2627.0,1118600.0
2017-1-02,0.034245,0.039223,0.033896,0.036947,7080.0,1098210.0
2017-1-03,0.036945,0.037712,0.035026,0.037712,5530.0,1185960.0
2017-1-04,0.037333,0.040544,0.035647,0.038137,14414.0,1199450.0
2017-1-05,0.038174,0.03946,0.028458,0.033922,14217.0,1227510.0
2017-1-06,0.034006,0.034482,0.029752,0.030544,10637.0,1094480.0
2017-1-07,0.030574,0.032995,0.027948,0.029559,6088.0,984853.0
2017-1-08,0.029557,0.031662,0.029342,0.02952,1666.0,952975.0
2017-1-09,0.029557,0.031175,0.028328,0.029709,4871.0,953837.0
2017-1-10,0.029699,0.032654,0.028471,0.031161,3440.0,959210.0
2017-1-11,0.031164,0.031652,0.025995,0.027955,3416.0,1007500.0
2017-1-12,0.027933,0.029074,0.025064,0.028633,5778.0,903793.0
2017-1-13,0.028669,0.029539,0.02778,0.028514,2387.0,928405.0
2017-1-14,0.028558,0.035841,0.028558,0.031958,9144.0,925689.0
2017-1-15,0.031929,0.036192,0.031203,0.033463,3900.0,1035850.0
2017-1-16,0.033468,0.0347,0.0313,0.03376,5403.0,1086800.0
2017-1-17,0.03373,0.033736,0.029657,0.030506,12753.0,1096310.0
2017-1-18,0.030524,0.033484,0.029345,0.031524,9471.0,992988.0
2017-1-19,0.031686,0.035964,0.029891,0.033712,15136.0,1031660.0
2017-1-20,0.033698,0.033891,0.030639,0.03335,8607.0,1098170.0
2017-1-21,0.033349,0.033369,0.029622,0.031204,7757.0,1087680.0
2017-1-22,0.031378,0.032892,0.030345,0.032666,4248.0,1024350.0
2017-1-23,0.032703,0.035621,0.031094,0.033037,6096.0,1068550.0
2017-1-24,0.032782,0.032782,0.030921,0.030921,5559.0,1072160.0
2017-1-25,0.030932,0.03177,0.030559,0.031362,2805.0,1012420.0
2017-1-26,0.031441,0.031924,0.030425,0.030766,6634.0,1030060.0
2017-1-27,0.030765,0.035593,0.030569,0.035593,11412.0,1008840.0
2017-1-28,0.035592,0.049929,0.034053,0.039254,91264.0,1168050.0
2017-1-29,0.039129,0.053824,0.039129,0.045117,175991.0,1285420.0
2017-1-30,0.045117,0.050383,0.043543,0.044958,43549.0,1483490.0
2017-1-31,0.044943,0.044951,0.039496,0.04188,48947.0,1478940.0
2017-2-01,0.042283,0.047021,0.040561,0.045227,16477.0,1392610.0
2017-2-02,0.04498,0.059984,0.04326,0.053118,100133.0,1482690.0
2017-2-03,0.052897,0.057818,0.048165,0.053806,87749.0,1745270.0
2017-2-04,0.053861,0.053861,0.044943,0.047191,54847.0,1778760.0
2017-2-05,0.047179,0.050992,0.045146,0.045448,18407.0,1559380.0
2017-2-06,0.045405,0.047644,0.041948,0.045512,27631.0,1502080.0
2017-2-07,0.046084,0.047064,0.041642,0.043689,17814.0,1525770.0
2017-2-08,0.043693,0.060186,0.041733,0.053088,202963.0,1447820.0
2017-2-09,0.052958,0.056483,0.046129,0.048624,43721.0,1756470.0
2017-2-10,0.048687,0.050686,0.046496,0.048405,14127.0,1616160.0
2017-2-11,0.048416,0.052538,0.047629,0.049571,21697.0,1608620.0
2017-2-12,0.049594,0.051113,0.045083,0.046234,16478.0,1649210.0
2017-2-13,0.045119,0.045898,0.039676,0.039708,33311.0,1501540.0
2017-2-14,0.039693,0.042689,0.038704,0.040734,15412.0,1322230.0
2017-2-15,0.040734,0.041478,0.040182,0.040958,4866.0,1357970.0
2017-2-16,0.04096,0.053383,0.040509,0.04449,43063.0,1366650.0
2017-2-17,0.044485,0.046653,0.044313,0.044691,12790.0,1485660.0
2017-2-18,0.044365,0.047011,0.039226,0.040932,22016.0,1482970.0
2017-2-19,0.040939,0.047842,0.038973,0.045839,15925.0,1369570.0
2017-2-20,0.045782,0.045978,0.042019,0.043365,9111.0,1532970.0
2017-2-21,0.043345,0.043575,0.040498,0.041221,13335.0,1452540.0
2017-2-22,0.041223,0.042641,0.038861,0.038861,13311.0,1382650.0
2017-2-23,0.038852,0.041445,0.037919,0.038765,13070.0,1304250.0
2017-2-24,0.038517,0.039338,0.03573,0.037601,17577.0,1293990.0
2017-2-25,0.037582,0.043888,0.036251,0.038653,11075.0,1263770.0
2017-2-26,0.038663,0.047699,0.037301,0.042655,20417.0,1301220.0
2017-2-27,0.046017,0.051766,0.041443,0.041977,52537.0,1550060.0
2017-2-28,0.04198,0.044189,0.041558,0.042321,8601.0,1415300.0
2017-3-01,0.042692,0.043423,0.038649,0.03998,14093.0,1440430.0
2017-3-02,0.039568,0.042594,0.038693,0.039273,12987.0,1336110.0
2017-3-03,0.039259,0.043941,0.03925,0.041581,8262.0,1326780.0
2017-3-04,0.041576,0.042019,0.040193,0.041882,1913.0,1406320.0
2017-3-05,0.041863,0.041863,0.039188,0.039244,6068.0,1417210.0
2017-3-06,0.039239,0.043194,0.037281,0.038358,14635.0,1329490.0
2017-3-07,0.038328,0.039318,0.036144,0.038661,8595.0,1299780.0
2017-3-08,0.037842,0.038924,0.036202,0.036657,4534.0,1284450.0
2017-3-09,0.036875,0.038721,0.036035,0.037708,4190.0,1252600.0
2017-3-10,0.037733,0.039531,0.032833,0.03429,13266.0,1282460.0
2017-3-11,0.034283,0.037986,0.033956,0.037286,6289.0,1165200.0
2017-3-12,0.037967,0.04083,0.037316,0.037845,6835.0,1290410.0
2017-3-13,0.037622,0.041107,0.036888,0.039649,12101.0,1278690.0
2017-3-14,0.039654,0.04385,0.038727,0.041265,9208.0,1347750.0
2017-3-15,0.041122,0.052504,0.041122,0.050421,36159.0,1397650.0
2017-3-16,0.050423,0.054731,0.046163,0.046879,26131.0,1713770.0
2017-3-17,0.046854,0.047793,0.043414,0.044116,6904.0,1592470.0
2017-3-18,0.044153,0.04546,0.03638,0.037326,11717.0,1500680.0
2017-3-19,0.038362,0.047946,0.037377,0.046107,18759.0,1303850.0
2017-3-20,0.046054,0.048843,0.043251,0.046678,17861.0,1565270.0
2017-3-21,0.047392,0.048908,0.045423,0.046898,11141.0,1610780.0
2017-3-22,0.046925,0.050547,0.044255,0.04949,29729.0,1594880.0
2017-3-23,0.04948,0.055093,0.048154,0.049945,53747.0,1681740.0
2017-3-24,0.049919,0.05466,0.04749,0.0493,44545.0,1696640.0
2017-3-25,0.049432,0.058765,0.048749,0.058146,62127.0,1680080.0
2017-3-26,0.058041,0.082085,0.055123,0.072937,130744.0,1972680.0
2017-3-27,0.073087,0.078628,0.061364,0.066384,119597.0,2484090.0
2017-3-28,0.068399,0.068683,0.059106,0.061611,50638.0,2324730.0
2017-3-29,0.061185,0.095626,0.060188,0.078421,409102.0,2079550.0
2017-3-30,0.079791,0.093932,0.068817,0.079512,250432.0,2711940.0
2017-3-31,0.078681,0.083716,0.074159,0.076452,59666.0,2607420.0
2017-4-01,0.076477,0.077997,0.071668,0.07338,40489.0,2536340.0
2017-4-02,0.072504,0.078283,0.070145,0.074206,47581.0,2406680.0
2017-4-03,0.072842,0.077819,0.067389,0.074826,116057.0,2420130.0
2017-4-04,0.074842,0.081189,0.069774,0.072057,131121.0,2488760.0
2017-4-05,0.072447,0.077517,0.071159,0.071784,90198.0,2411120.0
2017-4-06,0.071883,0.073742,0.06774,0.068562,85970.0,2394400.0
2017-4-07,0.068585,0.070393,0.060649,0.064081,83195.0,2286740.0
2017-4-08,0.064022,0.070102,0.061045,0.06499,49436.0,2136320.0
2017-4-09,0.06497,0.138804,0.063308,0.124943,1014370.0,2169590.0
2017-4-10,0.129495,0.232225,0.092258,0.170914,10248400.0,4324300.0
2017-4-11,0.171369,0.196415,0.116845,0.116845,2722700.0,5722920.0
2017-4-12,0.116135,0.124924,0.105025,0.113613,1159060.0,3878770.0
2017-4-13,0.113566,0.118834,0.097216,0.099012,604345.0,3793040.0
2017-4-14,0.098709,0.104485,0.098035,0.098355,255088.0,3296880.0
2017-4-15,0.099366,0.103141,0.09777,0.100721,202521.0,3318920.0
2017-4-16,0.100796,0.105676,0.100633,0.103891,253706.0,3366710.0
2017-4-17,0.102696,0.125956,0.101048,0.110827,657747.0,3430180.0
2017-4-18,0.111567,0.118137,0.107053,0.109488,292489.0,3726500.0
2017-4-19,0.110211,0.112421,0.101838,0.104754,267574.0,3681310.0
2017-4-20,0.104741,0.105134,0.085996,0.093282,271464.0,3498600.0
2017-4-21,0.094611,0.111081,0.092037,0.105869,393063.0,3160250.0
2017-4-22,0.1044,0.10728,0.102642,0.104513,117655.0,3487240.0
2017-4-23,0.103907,0.105156,0.096929,0.09791,117824.0,3470830.0
2017-4-24,0.098458,0.101054,0.097647,0.099953,88929.0,3288830.0
2017-4-25,0.100147,0.101043,0.098426,0.099166,89400.0,3345260.0
2017-4-26,0.098901,0.112917,0.096703,0.106406,237782.0,3303720.0
2017-4-27,0.105018,0.115467,0.102031,0.111206,197063.0,3508080.0
2017-4-28,0.112659,0.114,0.10508,0.112228,181020.0,3763350.0
2017-4-29,0.112155,0.114788,0.107176,0.112752,220846.0,3746510.0
2017-4-30,0.113002,0.136613,0.112766,0.132189,445568.0,3774900.0
2017-5-01,0.138529,0.154226,0.12162,0.13679,518275.0,4627760.0
2017-5-02,0.134782,0.139125,0.11404,0.130821,229557.0,4502600.0
2017-5-03,0.130737,0.162175,0.130162,0.161728,921344.0,4367640.0
2017-5-04,0.160037,0.205839,0.160037,0.193472,1369680.0,5346570.0
2017-5-05,0.214918,0.237876,0.191388,0.237876,1062880.0,7180310.0
2017-5-06,0.236601,0.285729,0.216598,0.28133,1251790.0,7904790.0
2017-5-07,0.281283,0.449552,0.253552,0.326719,4469260.0,9397690.0
2017-5-08,0.321309,0.48056,0.288629,0.360715,3465810.0,10735800.0
2017-5-09,0.358997,0.371611,0.258234,0.264372,1112700.0,11995200.0
2017-5-10,0.269981,0.303306,0.254455,0.266419,546401.0,9020990.0
2017-5-11,0.266762,0.268824,0.204113,0.227547,658831.0,8913540.0
2017-5-12,0.227755,0.261225,0.218841,0.250703,767954.0,7610450.0
2017-5-13,0.248695,0.298068,0.225996,0.264966,681582.0,8310560.0
2017-5-14,0.265838,0.281342,0.247585,0.251948,404335.0,8883990.0
2017-5-15,0.251235,0.255552,0.228613,0.233257,376280.0,8396230.0
2017-5-16,0.235427,0.312443,0.233497,0.278268,1256830.0,7868060.0
2017-5-17,0.278725,0.419604,0.260639,0.376297,2240420.0,9315180.0
2017-5-18,0.373864,0.412351,0.332633,0.354637,1829760.0,12495000.0
2017-5-19,0.354838,0.397732,0.334843,0.390635,957838.0,11859700.0
2017-5-20,0.389295,0.408341,0.37086,0.394792,648178.0,13012000.0
