datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1.2e-05,0.000114,1.2e-05,4.7e-05,618.0,149203.0
2017-1-02,4.7e-05,4.8e-05,1e-05,1.9e-05,1474.0,565975.0
2017-1-03,1.9e-05,2.1e-05,1e-05,2.1e-05,138.0,227854.0
2017-1-04,2.1e-05,2.3e-05,1.1e-05,2.3e-05,586.0,251179.0
2017-1-05,2.3e-05,2.4e-05,9e-06,1e-05,755.0,278925.0
2017-1-06,1e-05,2e-05,9e-06,1.7e-05,551.0,124500.0
2017-1-07,1.7e-05,1.8e-05,8e-06,1.8e-05,200.0,210913.0
2017-1-08,1.8e-05,1.9e-05,1.2e-05,1.2e-05,606.0,213884.0
2017-1-09,1.2e-05,1.6e-05,9e-06,1.5e-05,217.0,140612.0
2017-1-10,1.5e-05,1.8e-05,9e-06,1.8e-05,896.0,185717.0
2017-1-11,1.8e-05,1.8e-05,8e-06,1.6e-05,405.0,220716.0
2017-1-12,1.6e-05,2e-05,8e-06,1.9e-05,335.0,189123.0
2017-1-13,1.9e-05,1.9e-05,8e-06,1.7e-05,345.0,234483.0
2017-1-14,1.7e-05,1.7e-05,8e-06,8e-06,296.0,201837.0
2017-1-15,8e-06,1.6e-05,8e-06,8e-06,181.0,99489.0
2017-1-16,8e-06,1.7e-05,8e-06,8e-06,124.0,99957.0
2017-1-17,8e-06,1.8e-05,8e-06,9e-06,58.0,101151.0
2017-1-18,9e-06,9e-06,9e-06,9e-06,318.0,110722.0
2017-1-19,9e-06,1.8e-05,9e-06,1.8e-05,8.0,108137.0
2017-1-20,1.8e-05,1.8e-05,9e-06,9e-06,129.0,219347.0
2017-1-21,9e-06,9e-06,9e-06,9e-06,96.0,109198.0
2017-1-22,9e-06,9e-06,9e-06,9e-06,41.0,112484.0
2017-1-23,9e-06,9e-06,9e-06,9e-06,43.0,112861.0
2017-1-24,9e-06,9e-06,9e-06,9e-06,56.0,112437.0
2017-1-25,9e-06,1.8e-05,9e-06,9e-06,137.0,109006.0
2017-1-26,9e-06,1.8e-05,9e-06,9e-06,184.0,110126.0
2017-1-27,9e-06,1.7e-05,9e-06,9e-06,586.0,112116.0
2017-1-28,9e-06,9e-06,9e-06,9e-06,218.0,112416.0
2017-1-29,9e-06,1.8e-05,9e-06,9e-06,96.0,112673.0
2017-1-30,9e-06,1.8e-05,9e-06,9e-06,31.0,112457.0
2017-1-31,9e-06,1.9e-05,9e-06,1e-05,50.0,112584.0
2017-2-01,1e-05,2e-05,1e-05,1e-05,105.0,118732.0
2017-2-02,1e-05,2e-05,1e-05,1e-05,312.0,121117.0
2017-2-03,1e-05,1.1e-05,1e-05,1e-05,124.0,123725.0
2017-2-04,1e-05,4.6e-05,1e-05,4.5e-05,259.0,126209.0
2017-2-05,4.5e-05,4.5e-05,1.1e-05,2.1e-05,329.0,555158.0
2017-2-06,2.1e-05,2.2e-05,1e-05,1e-05,280.0,260467.0
2017-2-07,1e-05,2.1e-05,1e-05,1.1e-05,32.0,127805.0
2017-2-08,1.1e-05,2.2e-05,1e-05,2.1e-05,14.0,134515.0
2017-2-09,2.1e-05,2.2e-05,1e-05,1e-05,0.0,260862.0
2017-2-10,1e-05,2e-05,9e-06,2e-05,9.0,121989.0
2017-2-11,2e-05,2e-05,1e-05,1e-05,7.0,242388.0
2017-2-12,1e-05,1.5e-05,1e-05,1e-05,0.0,123061.0
2017-2-13,1e-05,1e-05,1e-05,1e-05,215.0,122530.0
2017-2-14,1e-05,2e-05,1e-05,2e-05,28.0,121710.0
2017-2-15,2e-05,2e-05,1e-05,2e-05,23.0,247105.0
2017-2-16,2e-05,2e-05,1.1e-05,1.1e-05,1.0,247571.0
2017-2-17,1.1e-05,1.1e-05,1e-05,1e-05,13.0,137546.0
2017-2-18,1e-05,1.1e-05,1e-05,1.1e-05,2.0,128981.0
2017-2-25,1.1e-05,1.1e-05,1.1e-05,1.1e-05,2.0,141168.0
2017-2-26,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.0,141132.0
2017-2-27,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,143651.0
2017-3-03,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,156543.0
2017-3-04,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,158083.0
2017-3-05,1.2e-05,1.3e-05,1.2e-05,1.3e-05,18.0,154503.0
2017-3-06,1.3e-05,1.3e-05,1.3e-05,1.3e-05,3.0,156944.0
2017-3-07,1.3e-05,1.3e-05,1.2e-05,1.2e-05,75.0,157717.0
2017-3-08,1.2e-05,1.2e-05,1.1e-05,1.2e-05,2.0,151602.0
2017-3-09,1.2e-05,1.2e-05,1.1e-05,1.2e-05,84.0,142640.0
2017-3-10,1.2e-05,1.3e-05,1.1e-05,1.1e-05,17.0,147542.0
2017-3-11,1.1e-05,1.2e-05,1.1e-05,1.2e-05,63.0,138531.0
2017-3-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,13.0,146058.0
2017-3-13,1.2e-05,2.5e-05,1.2e-05,1.2e-05,74.0,151657.0
2017-3-14,1.2e-05,1.2e-05,1.2e-05,1.2e-05,27.0,153033.0
2017-3-15,1.2e-05,1.3e-05,1.2e-05,1.2e-05,4.0,154048.0
2017-3-16,1.3e-05,1.3e-05,1.2e-05,1.2e-05,4.0,155439.0
2017-3-17,1.2e-05,1.2e-05,1.1e-05,1.1e-05,3.0,146600.0
2017-4-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,0.0
2017-4-13,1.2e-05,2.4e-05,1.2e-05,1.2e-05,173.0,0.0
2017-4-14,1.2e-05,2.3e-05,1.1e-05,1.1e-05,6004.0,0.0
2017-4-15,1.1e-05,1.3e-05,8e-06,9e-06,746.0,0.0
2017-4-16,9e-06,1.2e-05,9e-06,1.2e-05,703.0,0.0
2017-4-17,1.2e-05,1.2e-05,1.1e-05,1.1e-05,160.0,0.0
2017-4-18,1.1e-05,1.1e-05,4e-06,1e-05,32.0,0.0
2017-4-19,1e-05,1e-05,4e-06,4e-06,17.0,0.0
2017-4-20,4e-06,9e-06,4e-06,7e-06,3.0,0.0
2017-4-21,7e-06,1.2e-05,6e-06,1.1e-05,26.0,0.0
2017-4-22,1.1e-05,1.2e-05,9e-06,1.2e-05,2.0,0.0
2017-4-23,1.2e-05,1.2e-05,8e-06,8e-06,20.0,0.0
2017-4-24,8e-06,1.2e-05,94000000.0,1.2e-05,7.0,0.0
2017-4-25,1.2e-05,1.2e-05,2e-06,2e-06,262.0,0.0
2017-4-26,2e-06,1.1e-05,1e-06,1.1e-05,267.0,0.0
2017-4-27,1.1e-05,1.3e-05,1.1e-05,1.3e-05,1812.0,0.0
2017-4-28,1.3e-05,1.3e-05,1.3e-05,1.3e-05,119.0,0.0
2017-4-29,1.3e-05,1.3e-05,3e-06,3e-06,9.0,0.0
2017-4-30,3e-06,1.3e-05,3e-06,1.2e-05,555.0,0.0
2017-5-01,1.2e-05,1.2e-05,6e-06,6e-06,567.0,0.0
2017-5-02,6e-06,7e-06,2e-06,7e-06,39.0,0.0
2017-5-03,7e-06,1.3e-05,6e-06,7e-06,63.0,0.0
2017-5-04,7e-06,1e-05,7e-06,1e-05,88.0,0.0
2017-5-05,1e-05,1e-05,3e-06,4e-06,83.0,0.0
2017-5-06,4e-06,1.7e-05,4e-06,1.7e-05,135.0,0.0
2017-5-07,1.7e-05,2.1e-05,19000000.0,20000000.0,4.0,0.0
2017-5-08,20000000.0,3e-06,20000000.0,3e-06,116.0,0.0
2017-5-09,3e-06,1.1e-05,3e-06,5e-06,44.0,0.0
2017-5-10,5e-06,5e-06,1e-06,2e-06,260.0,0.0
2017-5-11,2e-06,8e-06,1e-06,2e-06,402.0,0.0
2017-5-12,2e-06,2e-06,1e-06,1e-06,175.0,0.0
2017-5-13,1e-06,1.7e-05,96000000.0,1.2e-05,72.0,0.0
2017-5-14,1.2e-05,1.2e-05,1e-06,1e-06,40.0,0.0
2017-5-15,1e-06,6e-06,54000000.0,2e-06,118.0,0.0
2017-5-16,2e-06,3e-06,1e-06,2e-06,78.0,0.0
2017-5-17,2e-06,2e-06,2e-06,2e-06,237.0,0.0
2017-5-18,2e-06,5e-06,2e-06,4e-06,312.0,0.0
2017-5-19,4e-06,6e-06,2e-06,6e-06,2037.0,0.0
2017-5-20,6e-06,1.8e-05,6e-06,1.3e-05,1100.0,0.0
2017-5-21,1.3e-05,1.5e-05,1.2e-05,1.5e-05,2725.0,0.0
2017-5-22,1.5e-05,2e-05,1.3e-05,2e-05,1036.0,0.0
2017-5-23,2e-05,2e-05,1.6e-05,1.7e-05,2509.0,0.0
2017-5-24,1.7e-05,1.9e-05,1.4e-05,1.4e-05,2028.0,0.0
2017-5-25,1.4e-05,2.1e-05,1.4e-05,1.5e-05,1562.0,0.0
2017-5-26,1.5e-05,1.7e-05,1.1e-05,1.1e-05,1502.0,0.0
2017-5-27,1.1e-05,1.4e-05,1e-05,1.3e-05,936.0,0.0
2017-5-28,1.5e-05,1.8e-05,1.4e-05,1.5e-05,3914.0,0.0
2017-5-29,1.5e-05,1.6e-05,1.2e-05,1.5e-05,2077.0,0.0
2017-5-30,1.5e-05,1.5e-05,9e-06,1.4e-05,1705.0,0.0
2017-5-31,1.4e-05,1.8e-05,1.4e-05,1.7e-05,2561.0,0.0
2017-6-01,1.7e-05,2.1e-05,1.7e-05,1.8e-05,389.0,0.0
2017-6-02,1.8e-05,1.8e-05,7e-06,9e-06,80.0,0.0
2017-6-03,9e-06,2.5e-05,9e-06,2.1e-05,338.0,0.0
2017-6-04,2.1e-05,2.5e-05,6e-06,2.4e-05,1901.0,0.0
2017-6-05,2.4e-05,2.5e-05,1.1e-05,1.1e-05,805.0,0.0
2017-6-06,1.1e-05,2.5e-05,3e-06,8e-06,171.0,0.0
2017-6-07,8e-06,1.9e-05,4e-06,1.3e-05,605.0,0.0
2017-6-08,1.3e-05,2.4e-05,1.3e-05,1.8e-05,833.0,0.0
2017-6-09,1.8e-05,2.6e-05,1.8e-05,2.4e-05,3134.0,0.0
2017-6-10,2.5e-05,2.7e-05,1.9e-05,2.4e-05,5372.0,0.0
2017-6-11,2.4e-05,5.9e-05,2e-05,5.8e-05,3145.0,121613.0
2017-6-12,5.8e-05,5.8e-05,1.8e-05,2.3e-05,1455.0,300602.0
2017-6-13,2.3e-05,2.3e-05,1.8e-05,1.8e-05,840.0,117893.0
2017-6-14,1.8e-05,2.9e-05,1.1e-05,2e-05,811.0,94317.0
2017-6-15,2e-05,5.9e-05,1.5e-05,2.9e-05,4432.0,103130.0
2017-6-16,2.9e-05,2.9e-05,1.7e-05,1.8e-05,847.0,152315.0
2017-6-17,1.8e-05,2.5e-05,1.8e-05,2.4e-05,767.0,92205.0
2017-6-18,2.4e-05,2.4e-05,1.6e-05,2.4e-05,799.0,123218.0
2017-6-19,2.4e-05,2.6e-05,2.2e-05,2.3e-05,877.0,126476.0
2017-6-20,2.3e-05,2.3e-05,1.9e-05,2.1e-05,829.0,118134.0
2017-6-21,2.1e-05,2.2e-05,1.1e-05,1.9e-05,611.0,109317.0
2017-6-22,1.9e-05,2.3e-05,1.9e-05,2e-05,832.0,99699.0
2017-6-23,2e-05,2.9e-05,1.2e-05,2.4e-05,1078.0,103153.0
2017-6-24,2.4e-05,2.4e-05,1e-05,1e-05,290.0,123031.0
2017-6-25,1e-05,2.9e-05,9e-06,2.9e-05,472.0,51974.0
2017-6-26,2.9e-05,3e-05,1.1e-05,1.7e-05,76.0,149256.0
2017-6-27,1.7e-05,1.8e-05,1.4e-05,1.5e-05,14.0,88337.0
2017-6-28,1.5e-05,1.7e-05,9e-06,1.6e-05,5.0,78051.0
2017-6-29,1.6e-05,1.6e-05,9e-06,9e-06,17.0,80846.0
2017-6-30,1e-05,1.2e-05,9e-06,9e-06,13.0,49205.0
2017-7-01,9e-06,1.7e-05,9e-06,9e-06,6.0,46735.0
