datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-3-14,0.008196,0.032921,0.006556,0.009844,666.0,0.0
2017-3-15,0.009893,0.023713,0.006355,0.013351,1058.0,0.0
2017-3-16,0.013372,0.019894,0.004873,0.004873,994.0,0.0
2017-3-17,0.004842,0.006528,0.002445,0.00539,517.0,0.0
2017-3-18,0.005407,0.088408,0.004651,0.019889,3111.0,0.0
2017-3-19,0.019949,0.044279,0.012891,0.015189,1127.0,0.0
2017-3-20,0.015196,0.016564,0.006912,0.007862,1325.0,0.0
2017-3-21,0.007876,0.011882,0.006762,0.007858,625.0,77561.0
2017-3-22,0.007851,0.019161,0.005684,0.018519,1814.0,77780.0
2017-3-23,0.018535,0.018576,0.008623,0.010716,668.0,184538.0
2017-3-24,0.010714,0.014412,0.010042,0.013736,1614.0,107122.0
2017-3-25,0.013698,0.017625,0.009585,0.01622,1701.0,137520.0
2017-3-26,0.015126,0.016279,0.011976,0.014798,664.0,152102.0
2017-3-27,0.01488,0.015763,0.013723,0.014647,633.0,149689.0
2017-3-28,0.01463,0.015549,0.014223,0.014524,743.0,147239.0
2017-3-29,0.014509,0.016055,0.014368,0.014629,261.0,146092.0
2017-3-30,0.01466,0.015819,0.01267,0.014793,622.0,147682.0
2017-3-31,0.014796,0.015421,0.013087,0.01444,895.0,149114.0
2017-4-01,0.014439,0.019735,0.013659,0.016289,1438.0,145581.0
2017-4-02,0.016291,0.018573,0.014952,0.017842,171.0,164323.0
2017-4-03,0.017855,0.021303,0.015998,0.01765,417.0,180172.0
2017-4-04,0.017693,0.021481,0.01567,0.018025,172.0,178612.0
2017-4-05,0.018042,0.01987,0.018011,0.018157,595.0,182217.0
2017-4-06,0.018173,0.020101,0.015299,0.019344,848.0,183630.0
2017-4-07,0.019285,0.028622,0.017762,0.024084,344.0,194982.0
2017-4-08,0.023998,0.035332,0.021193,0.025189,1120.0,242806.0
2017-4-09,0.025202,0.028338,0.023571,0.026325,630.0,255130.0
2017-4-10,0.026312,0.028742,0.024049,0.025847,372.0,266502.0
2017-4-11,0.025855,0.026612,0.020655,0.024136,1139.0,222305.0
2017-4-12,0.024132,0.026408,0.021375,0.022624,293.0,207496.0
2017-4-13,0.022637,0.025819,0.021739,0.023401,467.0,194887.0
2017-4-14,0.023423,0.024337,0.023074,0.023806,118.0,201754.0
2017-4-15,0.023835,0.02427,0.023578,0.023588,167.0,205393.0
2017-4-16,0.023589,0.023834,0.02263,0.022931,99.0,203415.0
2017-4-17,0.022937,0.024457,0.022199,0.023661,367.0,197876.0
2017-4-18,0.023659,0.024812,0.022398,0.023002,704.0,204200.0
2017-4-19,0.023034,0.026595,0.021726,0.024423,584.0,198902.0
2017-4-20,0.024439,0.026705,0.024385,0.025041,322.0,211127.0
2017-4-21,0.025046,0.026929,0.02488,0.025212,201.0,216476.0
2017-4-22,0.025226,0.028565,0.024543,0.027114,1351.0,218130.0
2017-4-23,0.02712,0.030112,0.026442,0.028684,887.0,234620.0
2017-4-24,0.028742,0.030153,0.026904,0.029589,189.0,248790.0
2017-4-25,0.029592,0.029619,0.0234,0.028856,981.0,256296.0
2017-4-26,0.028868,0.030294,0.027914,0.028422,511.0,250135.0
2017-4-27,0.028441,0.030762,0.028165,0.02921,426.0,246551.0
2017-4-28,0.029209,0.031202,0.026904,0.029487,1247.0,253329.0
2017-4-29,0.02953,0.02987,0.027827,0.028333,356.0,256236.0
2017-4-30,0.028335,0.029136,0.025549,0.027967,304.0,245989.0
2017-5-01,0.027975,0.029079,0.025168,0.027114,480.0,242975.0
2017-5-02,0.027104,0.02928,0.026032,0.028247,899.0,235516.0
2017-5-03,0.028266,0.030055,0.027523,0.028303,657.0,245735.0
2017-5-04,0.028316,0.030419,0.025754,0.027882,1052.0,246306.0
2017-5-05,0.02794,0.029515,0.026479,0.028254,619.0,243182.0
2017-5-06,0.028278,0.030327,0.020847,0.021214,488.0,246297.0
2017-5-07,0.021241,0.029729,0.021222,0.02958,1782.0,185114.0
2017-5-08,0.029604,0.036813,0.029492,0.033649,2714.0,258116.0
2017-5-09,0.033645,0.035594,0.032594,0.033407,2617.0,293508.0
2017-5-10,0.03343,0.034042,0.029485,0.03382,2430.0,291776.0
2017-5-11,0.033881,0.035903,0.028528,0.02914,796.0,295898.0
2017-5-12,0.029169,0.032241,0.028106,0.029986,1944.0,254914.0
2017-5-13,0.029933,0.031243,0.028186,0.030709,1918.0,261710.0
2017-5-14,0.031091,0.03195,0.026299,0.026348,224.0,271961.0
2017-5-15,0.026362,0.031061,0.025018,0.03059,1590.0,230703.0
2017-5-16,0.030545,0.031312,0.029667,0.031312,1463.0,267429.0
2017-5-17,0.031304,0.032562,0.030989,0.031627,1891.0,274202.0
2017-5-18,0.03161,0.032848,0.029766,0.032497,1958.0,277010.0
2017-5-19,0.032515,0.033155,0.026198,0.027072,434.0,285080.0
2017-5-20,0.027044,0.039978,0.026135,0.038574,4546.0,237231.0
2017-5-21,0.038561,0.038966,0.03421,0.037763,1107.0,338382.0
2017-5-22,0.037879,0.046333,0.0352,0.037183,3786.0,332493.0
2017-5-23,0.037085,0.038945,0.036895,0.038519,2812.0,325673.0
2017-5-24,0.038563,0.101623,0.038563,0.064104,5901.0,338725.0
2017-5-25,0.064017,0.104248,0.063813,0.073092,2013.0,562514.0
2017-5-26,0.072573,0.082909,0.057453,0.062349,2436.0,637970.0
2017-5-27,0.062558,0.064536,0.044808,0.058864,2672.0,550168.0
2017-5-28,0.059219,0.064596,0.042087,0.04384,1031.0,520992.0
2017-5-29,0.043707,0.046844,0.035087,0.041043,648.0,384672.0
2017-5-30,0.04065,0.043453,0.037799,0.038944,970.0,357939.0
2017-5-31,0.039152,0.044585,0.036016,0.038288,3020.0,344901.0
2017-6-01,0.038323,0.04645,0.038323,0.040508,988.0,337741.0
2017-6-02,0.04053,0.042232,0.037671,0.04073,1096.0,357352.0
2017-6-03,0.040765,0.074533,0.038301,0.041337,1977.0,359578.0
2017-6-04,0.041446,0.041485,0.028782,0.031649,1044.0,365747.0
2017-6-05,0.03165,0.041106,0.031327,0.034228,1884.0,279437.0
2017-6-06,0.034325,0.044892,0.034078,0.037813,4072.0,303203.0
2017-6-07,0.037823,0.040664,0.034915,0.037012,1723.0,334250.0
2017-6-08,0.037197,0.057116,0.032696,0.051995,5657.0,328887.0
2017-6-09,0.051914,0.055903,0.045171,0.048677,1636.0,459184.0
2017-6-10,0.04875,0.053808,0.047187,0.047973,1515.0,431336.0
2017-6-11,0.047921,0.052547,0.047469,0.050051,864.0,424226.0
2017-6-12,0.049985,0.050405,0.038973,0.043349,918.0,442724.0
2017-6-13,0.043205,0.045047,0.035796,0.038376,1374.0,382876.0
2017-6-14,0.038354,0.042404,0.031358,0.032632,838.0,340050.0
2017-6-15,0.032631,0.044043,0.029756,0.037163,1251.0,289304.0
2017-6-16,0.038819,0.159418,0.034899,0.101115,536.0,344166.0
2017-6-17,0.10128,0.104597,0.039082,0.039524,364.0,897945.0
2017-6-18,0.039527,0.040691,0.034558,0.037638,1543.0,350442.0
2017-6-19,0.037638,0.040263,0.036339,0.038317,518.0,334540.0
2017-6-20,0.038318,0.04996,0.035889,0.049958,16054700.0,340765.0
2017-6-21,0.049958,0.061548,0.049169,0.056943,6029.0,444519.0
2017-6-22,0.057435,0.118342,0.05655,0.075423,6243.0,511305.0
2017-6-23,0.075424,0.086346,0.07117,0.077772,1174.0,671783.0
2017-6-24,0.077761,0.109236,0.077761,0.092851,5607.0,692920.0
2017-6-25,0.102592,0.106462,0.090324,0.095571,4873.0,914653.0
2017-6-26,0.095528,0.106317,0.085643,0.090109,1521.0,852100.0
2017-6-27,0.09172,0.11934,0.08613,0.117282,4254.0,818471.0
2017-6-28,0.118258,0.118258,0.103085,0.116622,3122.0,1055840.0
2017-6-29,0.115835,0.180116,0.11548,0.146102,10576.0,1034730.0
2017-6-30,0.146381,0.195514,0.141157,0.163408,6734.0,1308200.0
2017-7-01,0.163345,0.177403,0.132545,0.136296,3774.0,1460530.0
2017-7-02,0.136397,0.211755,0.134593,0.168374,2247.0,1220200.0
2017-7-03,0.186081,0.38942,0.094203,0.380065,1699.0,1665490.0
2017-7-04,0.379519,0.491397,0.124259,0.184834,2303.0,3398610.0
2017-7-05,0.184556,0.202845,0.155996,0.178571,1522.0,1653620.0
2017-7-06,0.179109,0.190703,0.121744,0.177972,1489.0,1605690.0
2017-7-07,0.177895,0.183727,0.146577,0.164333,1320.0,1595660.0
2017-7-08,0.164308,0.223431,0.130471,0.19133,1765.0,1474620.0
2017-7-09,0.195937,0.197443,0.130445,0.159932,1655.0,1759460.0
2017-7-10,0.160382,0.180336,0.145778,0.150291,2038.0,1440960.0
2017-7-11,0.150138,0.168015,0.103215,0.141532,2261.0,1349800.0
2017-7-12,0.141236,0.146467,0.130437,0.141348,1402.0,1270600.0
2017-7-13,0.141521,0.14704,0.117336,0.118485,2762.0,1274010.0
2017-7-14,0.117044,0.126552,0.069098,0.115402,5302.0,1054390.0
2017-7-15,0.115557,0.133282,0.099791,0.099982,1069.0,1041700.0
2017-7-16,0.099775,0.127941,0.059021,0.118747,3667.0,900049.0
2017-7-17,0.118619,0.14362,0.100896,0.141349,6713.0,1070740.0
2017-7-18,0.141635,0.147089,0.090816,0.092691,4693.0,1279200.0
2017-7-19,0.092838,0.120128,0.090689,0.103969,3640.0,839041.0
2017-7-20,0.103722,0.141801,0.075751,0.119564,5054.0,937983.0
2017-7-21,0.120468,0.165611,0.098405,0.165466,8261.0,1090130.0
2017-7-22,0.165444,0.186595,0.072037,0.142573,4790.0,1498040.0
2017-7-23,0.142495,0.148604,0.112034,0.134483,3247.0,1291040.0
2017-7-24,0.134324,0.134324,0.109309,0.124712,6220.0,1217800.0
2017-7-25,0.124733,0.125825,0.071388,0.099939,1470.0,1131510.0
2017-7-26,0.099984,0.104137,0.046478,0.091575,2030.0,907547.0
2017-7-27,0.091839,0.093148,0.074652,0.087121,4664.0,834112.0
2017-7-28,0.087403,0.105845,0.087403,0.105845,2198.0,794276.0
2017-7-29,0.105582,0.108337,0.076764,0.077613,2703.0,960016.0
2017-7-30,0.077599,0.108524,0.054198,0.088646,3313.0,705969.0
2017-7-31,0.088737,0.088796,0.059845,0.078051,2625.0,807704.0
2017-8-01,0.078089,0.091952,0.060292,0.089855,4214.0,711166.0
2017-8-02,0.089838,0.105382,0.085067,0.085574,1988.0,818611.0
2017-8-03,0.085727,0.087849,0.041636,0.047609,1958.0,781498.0
2017-8-04,0.047599,0.076725,0.046641,0.072006,3813.0,434117.0
2017-8-05,0.071974,0.086328,0.057263,0.086325,2868.0,656726.0
2017-8-06,0.086338,0.08728,0.067678,0.068075,2587.0,788118.0
2017-8-07,0.067952,0.079621,0.05513,0.078574,6216.0,620580.0
2017-8-08,0.078651,0.105308,0.074889,0.084961,5155.0,718458.0
2017-8-09,0.084882,0.090357,0.066572,0.090115,1967.0,775378.0
2017-8-10,0.090084,0.090814,0.060029,0.072341,5601.0,822897.0
2017-8-11,0.072337,0.089761,0.061464,0.085974,7481.0,660777.0
2017-8-12,0.085907,0.089588,0.069982,0.087544,2370.0,784737.0
2017-8-13,0.087459,0.10861,0.054969,0.104126,4392.0,798917.0
2017-8-14,0.104188,0.109794,0.088759,0.094303,1442.0,951729.0
2017-8-15,0.094497,0.096041,0.075091,0.087785,3023.0,863203.0
2017-8-16,0.087907,0.094519,0.059744,0.084919,4597.0,803012.0
2017-8-17,0.084849,0.085033,0.053169,0.066354,3217.0,775079.0
2017-8-18,0.066184,0.083338,0.043773,0.050561,7543.0,604575.0
2017-8-19,0.050599,0.084539,0.045685,0.084415,2758.0,462213.0
2017-8-20,0.084021,0.084021,0.075679,0.081118,2858.0,767514.0
2017-8-21,0.08081,0.082423,0.0703,0.071615,1163.0,738178.0
2017-8-22,0.071781,0.087562,0.063037,0.083196,3448.0,655702.0
2017-8-23,0.083026,0.086141,0.074952,0.084518,1060.0,758424.0
2017-8-24,0.084555,0.085412,0.041442,0.083526,1197.0,772391.0
2017-8-25,0.083394,0.092041,0.04592,0.080975,990.0,761782.0
2017-8-26,0.081147,0.085745,0.043265,0.079725,580.0,741260.0
