datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.936666,0.961541,0.89716,0.92332,241569.0,31275800.0
2017-7-29,0.920951,0.924224,0.830604,0.887938,110530.0,30751000.0
2017-7-30,0.888122,0.9546,0.812759,0.908592,159971.0,29654800.0
2017-7-31,0.90951,0.90951,0.830667,0.900082,142012.0,30369000.0
2017-8-01,0.902819,0.931819,0.860878,0.907693,130232.0,30145600.0
2017-8-02,0.906877,0.919817,0.810641,0.877184,163289.0,30281100.0
2017-8-03,0.878488,0.999902,0.869663,0.933809,258698.0,29333200.0
2017-8-04,0.931733,0.977371,0.880304,0.91859,188840.0,31111000.0
2017-8-05,0.915858,1.09,0.798846,1.02,308433.0,30580900.0
2017-8-06,1.01,1.09,0.92308,0.9921,159584.0,33746200.0
2017-8-07,0.992408,1.07,0.962145,1.05,168059.0,33137000.0
2017-8-08,1.05,1.08,0.985456,1.06,177803.0,35158700.0
2017-8-09,1.06,1.13,1.05,1.12,156219.0,35468100.0
2017-8-10,1.11,1.17,1.1,1.17,146650.0,37178500.0
2017-8-11,1.17,1.2,1.13,1.14,186655.0,38900400.0
2017-8-12,1.14,1.27,1.05,1.09,377206.0,37942000.0
2017-8-13,1.09,1.1,0.931212,0.950948,268827.0,36369600.0
2017-8-14,0.954514,1.03,0.783605,0.949046,315360.0,31871700.0
2017-8-15,0.95078,0.98613,0.835568,0.875147,193904.0,31747000.0
2017-8-16,0.876299,1.07,0.872632,1.05,370142.0,29260000.0
2017-8-17,1.05,1.07,0.886766,1.07,375000.0,35166300.0
2017-8-18,1.02,1.06,0.919677,0.931091,195760.0,34094700.0
2017-8-19,0.92955,1.04,0.850419,0.998979,249381.0,31038100.0
2017-8-20,0.997239,1.06,0.943801,1.04,219888.0,33298300.0
2017-8-21,1.04,1.04,0.947008,1.02,205429.0,34818700.0
2017-8-22,1.02,1.02,0.871176,0.932317,196588.0,33975400.0
2017-8-23,0.930639,0.983346,0.811271,0.960377,305485.0,31074500.0
2017-8-24,0.960705,0.969618,0.944134,0.947677,131324.0,32078400.0
2017-8-25,0.94639,1.15,0.938533,1.07,197364.0,31600400.0
2017-8-26,1.07,1.08,0.984492,1.04,110928.0,35721900.0
