datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.075873,0.079041,0.061655,0.064286,52290.0,13884800.0
2017-7-29,0.064309,0.075124,0.060466,0.070465,14483.0,11768500.0
2017-7-30,0.071253,0.074793,0.06684,0.068793,42768.0,13039200.0
2017-7-31,0.068855,0.074096,0.065656,0.071001,18705.0,12600500.0
2017-8-01,0.071025,0.080369,0.06562,0.079506,26209.0,12997500.0
2017-8-02,0.079543,0.081441,0.068204,0.072,30321.0,14556300.0
2017-8-03,0.072109,0.079723,0.068041,0.07536,24363.0,13195900.0
2017-8-04,0.07393,0.081617,0.068334,0.073843,44503.0,13529200.0
2017-8-05,0.073752,0.092337,0.073279,0.087137,43933.0,13496600.0
2017-8-06,0.087156,0.113757,0.082274,0.097897,53971.0,15949500.0
2017-8-07,0.097793,0.103388,0.083779,0.095637,78333.0,17896000.0
2017-8-08,0.095745,0.104421,0.090247,0.094762,47391.0,17521400.0
2017-8-09,0.094718,0.099324,0.08286,0.085085,47388.0,17333400.0
2017-8-10,0.085041,0.093421,0.084489,0.092865,43290.0,15562600.0
2017-8-11,0.092862,0.092966,0.054798,0.088264,117426.0,16993800.0
2017-8-12,0.088144,0.105934,0.080753,0.105765,128603.0,16130300.0
2017-8-13,0.10567,0.109283,0.090086,0.09359,130489.0,19337600.0
2017-8-14,0.099496,0.111228,0.092964,0.101696,125851.0,18207700.0
2017-8-15,0.101938,0.107544,0.094491,0.103673,130638.0,18654700.0
2017-8-16,0.103779,0.11675,0.098114,0.109902,80301.0,18991600.0
2017-8-17,0.109819,0.124461,0.108285,0.117214,100551.0,20096800.0
2017-8-18,0.119964,0.122155,0.10401,0.115635,71481.0,21953400.0
2017-8-19,0.115582,0.117625,0.092613,0.111098,101703.0,21151600.0
2017-8-20,0.110607,0.115497,0.097657,0.099443,81129.0,20241200.0
2017-8-21,0.099048,0.105981,0.093393,0.093393,101263.0,18125700.0
2017-8-22,0.093701,0.109954,0.08212,0.082777,52775.0,17147300.0
2017-8-23,0.082629,0.111508,0.082467,0.101924,46889.0,15121200.0
2017-8-24,0.101964,0.125052,0.101601,0.124359,173696.0,18659400.0
2017-8-25,0.124213,0.133323,0.118849,0.121369,128374.0,22731000.0
2017-8-26,0.121597,0.144678,0.119608,0.144408,226503.0,22252200.0
