datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.006233,0.006421,0.00623,0.006389,12.0,6827.0
2017-1-02,0.006393,0.006817,0.006326,0.006342,16.0,7001.0
2017-1-03,0.006342,0.006425,0.005936,0.006024,67.0,6946.0
2017-1-04,0.006023,0.008152,0.006023,0.00751,127.0,6596.0
2017-1-05,0.007517,0.007683,0.005259,0.006662,44.0,8233.0
2017-1-06,0.00668,0.006901,0.005595,0.005711,46.0,7316.0
2017-1-07,0.005719,0.005747,0.005213,0.005641,6.0,6264.0
2017-1-08,0.006263,0.006267,0.006007,0.00616,27.0,6860.0
2017-1-09,0.006169,0.006186,0.005956,0.006112,27.0,6756.0
2017-1-10,0.006278,0.006319,0.006271,0.00629,0.0,6876.0
2017-1-11,0.00629,0.006372,0.005047,0.005047,2.0,6889.0
2017-1-12,0.00504,0.005859,0.004897,0.005839,4.0,5520.0
2017-1-13,0.005835,0.0064,0.005824,0.006352,75.0,6391.0
2017-1-14,0.006361,0.00644,0.006361,0.006418,76.0,6967.0
2017-1-15,0.006187,0.006249,0.00576,0.00581,0.0,6776.0
2017-1-16,0.00581,0.005886,0.005799,0.005831,0.0,6363.0
2017-1-17,0.006142,0.006876,0.006142,0.006869,3.0,6726.0
2017-1-18,0.006873,0.006945,0.001791,0.003673,989.0,7528.0
2017-1-19,0.003688,0.007735,0.003688,0.004272,98.0,4039.0
2017-1-20,0.00427,0.004308,0.003875,0.003876,10.0,4677.0
2017-1-21,0.003876,0.003988,0.003501,0.003724,14.0,4245.0
2017-1-22,0.003724,0.003969,0.001867,0.002983,153.0,4079.0
2017-1-23,0.002987,0.003203,0.001834,0.002783,44.0,3271.0
2017-1-24,0.00275,0.002986,0.002194,0.002948,12.0,3011.0
2017-1-25,0.002949,0.005601,0.0011,0.00178,183.0,3230.0
2017-1-26,0.00178,0.008217,0.00178,0.008217,57.0,1950.0
2017-1-27,0.008218,0.011463,0.003385,0.003444,30.0,9000.0
2017-1-28,0.003444,0.003446,0.001844,0.001884,29.0,3772.0
2017-1-29,0.002099,0.002344,0.002099,0.002305,31.0,2299.0
2017-1-30,0.002305,0.011831,0.00187,0.011821,0.0,2524.0
2017-1-31,0.011862,0.012329,0.007699,0.007832,3.0,12992.0
2017-2-01,0.007831,0.007951,0.007831,0.007898,2.0,8577.0
2017-2-02,0.012801,0.01293,0.00956,0.009622,1.0,14020.0
2017-2-03,0.009619,0.009832,0.009594,0.009794,1.0,10535.0
2017-2-04,0.009808,0.013459,0.009654,0.013433,0.0,10742.0
2017-2-05,0.01344,0.013442,0.013193,0.013217,0.0,14720.0
2017-2-06,0.013386,0.013516,0.013386,0.013496,1.0,14661.0
2017-2-07,0.013522,0.013803,0.013522,0.013735,0.0,14809.0
2017-2-10,0.012825,0.013083,0.012808,0.013021,0.0,14046.0
2017-2-11,0.013024,0.013282,0.012944,0.013219,1.0,14264.0
2017-2-12,0.013206,0.013223,0.013119,0.013169,1.0,14464.0
2017-2-13,0.013165,0.013208,0.012864,0.013094,1.0,14419.0
2017-2-15,0.013205,0.013619,0.013181,0.013601,6.0,14463.0
2017-2-16,0.013603,0.014271,0.013603,0.014199,3.0,14899.0
2017-2-17,0.014181,0.014244,0.005335,0.011623,28.0,15531.0
2017-2-18,0.011657,0.013794,0.011632,0.013707,0.0,12767.0
2017-2-19,0.013712,0.013712,0.011582,0.011631,4.0,15018.0
2017-2-20,0.01164,0.013226,0.005357,0.007193,20.0,12749.0
2017-2-21,0.007188,0.008882,0.007172,0.008867,3.0,7872.0
2017-2-22,0.008863,0.008863,0.00685,0.00685,5.0,9707.0
2017-2-23,0.006849,0.007085,0.006847,0.007079,5.0,7501.0
2017-2-24,0.008141,0.008149,0.007697,0.007981,0.0,8916.0
2017-2-25,0.007959,0.00996,0.007959,0.009929,5.0,8717.0
2017-2-26,0.009932,0.010134,0.000175,0.000175,80.0,10878.0
2017-2-27,0.000175,0.004366,0.000175,0.004366,83.0,191.0
2017-2-28,0.004369,0.004415,0.002958,0.002962,34.0,4785.0
2017-3-01,0.002962,0.004163,0.002961,0.003203,1.0,3244.0
2017-3-02,0.003209,0.00467,0.003185,0.003278,16.0,3514.0
2017-3-03,0.003277,0.004744,0.003277,0.004743,45.0,3589.0
2017-3-04,0.004752,0.004759,0.004577,0.004629,1.0,5205.0
2017-3-05,0.00316,0.003206,0.00316,0.003206,15.0,3461.0
2017-3-06,0.003207,0.003228,0.003199,0.003208,4.0,3512.0
2017-3-07,0.003208,0.004409,0.003036,0.004331,1.0,3514.0
2017-3-08,0.00433,0.004362,0.004124,0.004236,1.0,4743.0
2017-3-09,0.004337,0.004344,0.004316,0.004326,8.0,4750.0
2017-3-10,0.004329,0.004625,0.003987,0.004098,6.0,4742.0
2017-3-11,0.004097,0.004381,0.004097,0.004209,0.0,4487.0
2017-3-12,0.004212,0.004393,0.004067,0.004067,1.0,4613.0
2017-3-13,0.004069,0.0044,0.004053,0.004386,0.0,4456.0
2017-3-14,0.004386,0.004426,0.004346,0.004423,0.0,4804.0
2017-3-16,0.004299,0.004299,0.004034,0.004157,2.0,4708.0
2017-3-17,0.004131,0.004131,0.003922,0.004047,2.0,4524.0
2017-3-18,0.00356,0.00356,0.002423,0.002464,14.0,3899.0
2017-3-19,0.002471,0.003809,0.002471,0.003691,7.0,2706.0
2017-3-20,0.003693,0.003781,0.002723,0.002741,2.0,4044.0
2017-3-21,0.002744,0.00386,0.002744,0.00381,0.0,3005.0
2017-3-22,0.00381,0.00381,0.003519,0.003578,0.0,4173.0
2017-3-23,0.003581,0.003591,0.003467,0.0035,3.0,3922.0
2017-3-24,0.0035,0.003506,0.003404,0.003423,3.0,3833.0
2017-3-26,0.003172,0.003326,0.003149,0.00319,1.0,3475.0
2017-3-27,0.003208,0.003453,0.003208,0.003451,1.0,3513.0
2017-3-28,0.003447,0.003456,0.003415,0.003452,1.0,3775.0
2017-3-29,0.003511,0.003529,0.003465,0.003505,5.0,3846.0
2017-3-30,0.003512,0.003536,0.00269,0.0027,7.0,3847.0
2017-3-31,0.0027,0.003558,0.0027,0.003548,3.0,2957.0
2017-4-01,0.003547,0.003614,0.003512,0.003566,4.0,3885.0
2017-4-02,0.003566,0.003655,0.003549,0.003636,3.0,3906.0
2017-4-03,0.002984,0.003407,0.002921,0.002951,3.0,3268.0
2017-4-04,0.002955,0.003729,0.002909,0.003728,2.0,3237.0
2017-4-05,0.003731,0.003734,0.003664,0.003683,1.0,4087.0
2017-4-06,0.003845,0.003897,0.003845,0.003891,4.0,4212.0
2017-4-07,0.003879,0.003884,0.003828,0.003837,3.0,4248.0
2017-4-08,0.003823,0.003993,0.003373,0.003963,45.0,4187.0
