datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.067902,0.099851,0.06399,0.098583,856.0,678814.0
"Jul 25, 2017",0.098654,0.099462,0.057408,0.05796,27.0,986236.0
"Jul 26, 2017",0.058276,0.064022,0.05713,0.061176,661.0,582578.0
"Jul 27, 2017",0.061179,0.087823,0.04989,0.052498,278.0,611603.0
"Jul 28, 2017",0.052519,0.067562,0.050377,0.064531,2462.0,525032.0
"Jul 29, 2017",0.064455,0.087259,0.060655,0.060743,236.0,644353.0
"Jul 30, 2017",0.060769,0.100429,0.040557,0.100429,3400.0,607503.0
"Jul 31, 2017",0.100522,0.153325,0.054847,0.055077,2900.0,1004910.0
"Aug 01, 2017",0.055088,0.095303,0.053703,0.080378,1169.0,550707.0
"Aug 02, 2017",0.080276,0.0864,0.05817,0.061918,1424.0,802515.0
"Aug 03, 2017",0.061996,0.085579,0.061119,0.066161,2440.0,619773.0
"Aug 04, 2017",0.066082,0.084579,0.065466,0.077188,3115.0,660621.0
"Aug 05, 2017",0.080344,0.093224,0.078714,0.084239,4933.0,803191.0
"Aug 06, 2017",0.084265,0.105212,0.08014,0.095647,2024.0,842394.0
"Aug 07, 2017",0.095586,0.110031,0.078471,0.101424,1556.0,955564.0
"Aug 08, 2017",0.101676,0.12673,0.084689,0.117059,3939.0,1016450.0
"Aug 09, 2017",0.117058,0.117063,0.089587,0.108352,366.0,1170220.0
"Aug 10, 2017",0.10805,0.108361,0.083286,0.089988,1418.0,1080170.0
"Aug 11, 2017",0.08999,0.09893,0.086404,0.08858,2552.0,899619.0
"Aug 12, 2017",0.088164,0.099562,0.076988,0.083603,781.0,881366.0
"Aug 13, 2017",0.08352,0.086531,0.072036,0.073762,1872.0,834944.0
"Aug 14, 2017",0.073326,0.112156,0.067033,0.112156,474.0,733034.0
"Aug 15, 2017",0.112446,0.137462,0.071827,0.117011,1414.0,1124120.0
"Aug 16, 2017",0.117087,0.145063,0.105169,0.117652,5100.0,1170510.0
"Aug 17, 2017",0.117697,0.11952,0.074337,0.076508,1285.0,1176610.0
"Aug 18, 2017",0.077247,0.088698,0.064999,0.068895,1081.0,772235.0
"Aug 19, 2017",0.081979,0.130429,0.068851,0.094698,4808.0,819538.0
"Aug 20, 2017",0.094456,0.094456,0.070549,0.078519,688.0,944271.0
"Aug 21, 2017",0.078203,0.101841,0.064226,0.064226,1825.0,781795.0
"Aug 22, 2017",0.064622,0.084944,0.059834,0.063234,1226.0,646020.0
