datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-10,0.002951,0.003342,0.002951,0.003325,34321.0,0.0
2017-7-11,0.003315,0.004309,0.002381,0.00247,1599.0,0.0
2017-7-12,0.002466,0.003924,0.002268,0.003542,4001.0,0.0
2017-7-13,0.003545,0.003576,0.002237,0.002414,431.0,0.0
2017-7-14,0.002304,0.003331,0.002139,0.002976,326.0,0.0
2017-7-15,0.002948,0.004154,0.002772,0.003932,845.0,0.0
2017-7-16,0.00392,0.007872,0.002637,0.002815,161.0,0.0
2017-7-17,0.002812,0.012859,0.002812,0.012404,468.0,0.0
2017-7-18,0.012436,0.012436,0.005018,0.007902,489.0,0.0
2017-7-19,0.007914,0.011086,0.00724,0.010507,567.0,0.0
2017-7-20,0.010475,0.010622,0.005827,0.009498,1296.0,0.0
2017-7-21,0.009568,0.017687,0.005935,0.012501,3012.0,0.0
2017-7-22,0.012499,0.013972,0.010503,0.013939,283.0,0.0
2017-7-23,0.013939,0.015556,0.009042,0.009542,2714.0,0.0
2017-7-24,0.009531,0.013504,0.007091,0.013053,1110.0,0.0
2017-7-25,0.013072,0.013161,0.007509,0.01143,284.0,0.0
2017-7-26,0.011435,0.011639,0.006383,0.006928,616.0,0.0
2017-7-27,0.006948,0.013963,0.006197,0.01189,557.0,0.0
2017-7-28,0.011924,0.011985,0.005454,0.006559,5782.0,0.0
2017-7-29,0.006587,0.009158,0.004846,0.005431,750.0,0.0
2017-7-30,0.005436,0.007152,0.003312,0.004244,1636.0,0.0
2017-7-31,0.004253,0.008513,0.004054,0.004165,1294.0,0.0
2017-8-01,0.004167,0.006298,0.003961,0.005303,142.0,0.0
2017-8-02,0.005302,0.006595,0.005074,0.005138,720.0,0.0
2017-8-03,0.005146,0.00742,0.00476,0.006333,192.0,0.0
2017-8-04,0.006334,0.006566,0.003062,0.00313,2317.0,0.0
2017-8-05,0.003129,0.007645,0.003128,0.00749,546.0,0.0
2017-8-06,0.007492,0.008558,0.004885,0.006818,503.0,0.0
2017-8-07,0.006803,0.008777,0.006744,0.007216,646.0,0.0
2017-8-08,0.007223,0.010423,0.006749,0.009485,1217.0,0.0
2017-8-09,0.009478,0.014541,0.008781,0.010157,733.0,0.0
2017-8-10,0.010158,0.010241,0.009626,0.009995,1168.0,0.0
2017-8-11,0.009995,0.010507,0.002544,0.005382,332.0,0.0
2017-8-12,0.005378,0.010777,0.005378,0.007386,227.0,0.0
2017-8-13,0.00738,0.010189,0.006343,0.00648,244.0,0.0
2017-8-14,0.006484,0.008902,0.00586,0.008902,686.0,0.0
2017-8-15,0.008926,0.0095,0.00393,0.004107,1138.0,0.0
2017-8-16,0.004111,0.005764,0.003713,0.005763,62.0,0.0
2017-8-17,0.005758,0.005779,0.004456,0.004483,191.0,0.0
2017-8-18,0.004469,0.005103,0.004078,0.00442,49.0,0.0
2017-8-19,0.004416,0.007726,0.003988,0.007712,1120.0,0.0
2017-8-20,0.007676,0.007853,0.005501,0.007308,339.0,0.0
2017-8-21,0.00728,0.008154,0.006502,0.008136,591.0,0.0
2017-8-22,0.008155,0.009057,0.00617,0.009022,60.0,0.0
2017-8-23,0.009004,0.009004,0.006003,0.007412,485.0,0.0
2017-8-24,0.007416,0.008665,0.004279,0.008656,1259.0,0.0
2017-8-25,0.008642,0.008793,0.004215,0.004317,450.0,0.0
2017-8-26,0.004305,0.018092,0.004305,0.009243,2830.0,0.0
