datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.018301,0.021941,0.015567,0.018948,1810.0,147056.0
2017-1-02,0.018958,0.025218,0.018927,0.0244,115.0,152333.0
2017-1-03,0.024399,0.024632,0.022466,0.022959,2538.0,196054.0
2017-1-04,0.022954,0.027246,0.022954,0.027108,1342.0,184440.0
2017-1-05,0.027136,0.029027,0.02002,0.022224,117.0,218045.0
2017-1-06,0.022284,0.023019,0.019438,0.019848,2.0,179058.0
2017-1-07,0.019877,0.021842,0.018325,0.020888,2517.0,159713.0
2017-1-08,0.020888,0.021673,0.019564,0.020064,7.0,167842.0
2017-1-09,0.020092,0.020147,0.0194,0.019918,2.0,161442.0
2017-1-10,0.019907,0.020133,0.018967,0.019059,816.0,159960.0
2017-1-11,0.019061,0.02043,0.014398,0.01557,1701.0,153161.0
2017-1-12,0.015547,0.018872,0.015141,0.016268,54.0,124926.0
2017-1-13,0.016258,0.017079,0.01553,0.016045,1486.0,130633.0
2017-1-14,0.016068,0.016284,0.014267,0.014377,35.0,129107.0
2017-1-15,0.014371,0.018398,0.014364,0.015607,150.0,115476.0
2017-1-16,0.015606,0.017108,0.015577,0.017042,1421.0,125396.0
2017-1-17,0.017046,0.018666,0.016621,0.01723,927.0,136971.0
2017-1-18,0.017242,0.017433,0.015779,0.015893,42.0,138540.0
2017-1-19,0.015959,0.018964,0.015959,0.018439,716.0,128234.0
2017-1-20,0.018431,0.018431,0.017403,0.017409,10.0,148097.0
2017-1-21,0.017408,0.018305,0.015261,0.017146,815.0,139879.0
2017-1-22,0.017145,0.017738,0.015708,0.01572,821.0,137766.0
2017-1-23,0.015738,0.017501,0.015603,0.016681,1063.0,126457.0
2017-1-24,0.01667,0.017078,0.016335,0.016713,24.0,133949.0
2017-1-25,0.01672,0.016918,0.015359,0.015385,1692.0,134348.0
2017-1-26,0.015389,0.017057,0.015389,0.016048,1593.0,123656.0
2017-1-27,0.016049,0.029072,0.016019,0.025358,2231.0,128954.0
2017-1-28,0.025358,0.028306,0.022596,0.025113,259.0,203752.0
2017-1-29,0.025113,0.027692,0.02076,0.025746,277.0,201790.0
2017-1-30,0.025746,0.027216,0.023974,0.026591,1573.0,206873.0
2017-1-31,0.026581,0.026627,0.023549,0.024817,10.0,213580.0
2017-2-01,0.024813,0.027191,0.024813,0.027191,985.0,199379.0
2017-2-02,0.027188,0.029494,0.023663,0.029221,2095.0,218462.0
2017-2-03,0.029211,0.029858,0.027318,0.027808,22.0,234716.0
2017-2-04,0.027846,0.030321,0.024926,0.02503,12.0,223747.0
2017-2-05,0.025045,0.025833,0.020138,0.023968,1816.0,201237.0
2017-2-06,0.023993,0.024372,0.0231,0.023172,94.0,192785.0
2017-2-07,0.023216,0.023508,0.019929,0.020728,899.0,186544.0
2017-2-08,0.020747,0.028282,0.020262,0.027013,3072.0,166707.0
2017-2-09,0.027054,0.027671,0.023176,0.024174,10.0,217384.0
2017-2-10,0.024204,0.024283,0.021125,0.021741,46.0,194482.0
2017-2-11,0.021746,0.022194,0.021612,0.022088,1866.0,174732.0
2017-2-12,0.022067,0.023652,0.021922,0.023371,48.0,177316.0
