datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.107,0.107,0.107,0.107,0.0,0.0
2017-7-29,0.107,0.107,0.107,0.107,925.0,0.0
2017-7-30,0.107,0.107,0.107,0.107,925.0,0.0
2017-7-31,0.107,0.126,0.1,0.1,1815.0,0.0
2017-8-01,0.1,0.1,0.1,0.1,0.0,0.0
2017-8-02,0.1,0.121,0.1,0.121,299.0,0.0
2017-8-03,0.121,0.13,0.121,0.13,5787.0,0.0
2017-8-04,0.13,0.13,0.12,0.12,994.0,0.0
2017-8-05,0.12,0.12,0.12,0.12,378.0,0.0
2017-8-06,0.12,0.141,0.12,0.141,419.0,0.0
2017-8-07,0.141,0.141,0.141,0.141,3.0,0.0
2017-8-08,0.141,0.141,0.113222,0.113222,0.0,0.0
2017-8-09,0.113222,0.12,0.102,0.102,90.0,0.0
2017-8-10,0.102,0.102,0.102,0.102,714.0,0.0
2017-8-11,0.102,0.102,0.102,0.102,124.0,0.0
2017-8-12,0.102,0.110692,0.102,0.110692,5.0,0.0
2017-8-13,0.110692,0.110692,0.102,0.102,44.0,0.0
2017-8-14,0.102,0.102,0.102,0.102,44.0,0.0
2017-8-15,0.102,0.102,0.102,0.102,44.0,0.0
2017-8-16,0.102,0.102,0.102,0.102,44.0,0.0
2017-8-17,0.102,0.110642,0.102,0.110642,190.0,0.0
2017-8-18,0.110642,0.110642,0.110642,0.110642,0.0,0.0
2017-8-19,0.110642,0.110642,0.110642,0.110642,0.0,0.0
2017-8-20,0.110642,0.110642,0.110642,0.110642,0.0,0.0
2017-8-21,0.110642,0.110642,0.110642,0.110642,0.0,0.0
2017-8-22,0.110642,0.110642,0.102,0.102,1209.0,0.0
2017-8-23,0.102,0.113167,0.102,0.113167,101.0,0.0
2017-8-24,0.113167,0.113167,0.110593,0.113167,101.0,0.0
2017-8-25,0.113167,0.113167,0.113167,0.113167,101.0,0.0
2017-8-26,0.113167,0.149,0.113167,0.149,3294.0,0.0
