datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.225687,0.242454,0.222047,0.226616,127774.0,28687300.0
2017-7-29,0.227372,0.231371,0.210224,0.21566,106209.0,28901500.0
2017-7-30,0.209757,0.218371,0.197388,0.215819,117545.0,26662400.0
2017-7-31,0.21627,0.228024,0.209579,0.222309,154542.0,27490300.0
2017-8-01,0.220655,0.230065,0.203949,0.217791,168754.0,28047600.0
2017-8-02,0.21818,0.226146,0.194737,0.213039,240892.0,27733000.0
2017-8-03,0.207243,0.230917,0.207243,0.224696,183411.0,26342800.0
2017-8-04,0.218442,0.227037,0.211896,0.21584,106220.0,27766300.0
2017-8-05,0.220372,0.235214,0.205902,0.211443,175340.0,28011700.0
2017-8-06,0.210617,0.228304,0.200983,0.209744,142668.0,26771700.0
2017-8-07,0.206697,0.220921,0.201203,0.206265,136695.0,26273400.0
2017-8-08,0.206031,0.210673,0.173454,0.182105,176765.0,26188700.0
2017-8-09,0.184492,0.199717,0.180777,0.193937,108012.0,23450900.0
2017-8-10,0.190191,0.191797,0.169668,0.172028,107766.0,24175300.0
2017-8-11,0.18353,0.192792,0.172435,0.185651,137634.0,23328600.0
2017-8-12,0.186681,0.196695,0.172854,0.178678,106569.0,23729100.0
2017-8-13,0.177141,0.190793,0.157471,0.167515,154653.0,22516500.0
2017-8-14,0.166798,0.2455,0.160475,0.191978,374031.0,21201700.0
2017-8-15,0.205039,0.205039,0.146583,0.176913,210820.0,26062600.0
2017-8-16,0.171809,0.337072,0.171809,0.24028,1763130.0,21838700.0
2017-8-17,0.240482,0.285694,0.199718,0.200238,570016.0,30567800.0
2017-8-18,0.201024,0.205915,0.160231,0.167344,152540.0,25552300.0
2017-8-19,0.168404,0.17918,0.15986,0.17059,111200.0,21405900.0
2017-8-20,0.16823,0.197117,0.163848,0.177328,177855.0,21383800.0
2017-8-21,0.175936,0.179949,0.161315,0.161889,151523.0,22363300.0
2017-8-22,0.162643,0.176959,0.129595,0.162546,96134.0,20673600.0
2017-8-23,0.162214,0.173393,0.15259,0.16663,186675.0,20619100.0
2017-8-24,0.166657,0.203849,0.163841,0.179584,165960.0,21183800.0
2017-8-25,0.180289,0.19119,0.175533,0.178996,209869.0,22916600.0
2017-8-26,0.17905,0.182456,0.172015,0.179276,74211.0,22759100.0
