datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 02, 2017",0.002143,0.002176,0.002125,0.002156,2.0,900.0
"Jan 03, 2017",0.002156,0.002173,0.002054,0.002099,5.0,905.0
"Jan 04, 2017",0.002098,0.002145,0.001939,0.002134,0.0,881.0
"Jan 05, 2017",0.002136,0.002144,0.001092,0.002112,40.0,897.0
"Jan 06, 2017",0.00212,0.002188,0.001847,0.001917,2.0,890.0
"Jan 07, 2017",0.001394,0.001436,0.00138,0.001436,0.0,585.0
"Jan 08, 2017",0.001436,0.001489,0.001423,0.001462,0.0,603.0
"Jan 13, 2017",0.001477,0.001683,0.001427,0.00167,0.0,620.0
"Jan 14, 2017",0.001673,0.001695,0.001662,0.001693,0.0,703.0
"Jan 15, 2017",0.00157,0.001581,0.001562,0.001578,0.0,660.0
"Jan 16, 2017",0.001578,0.001598,0.001575,0.001591,0.0,663.0
"Jan 22, 2017",0.001923,0.00194,0.001923,0.00194,1.0,808.0
"Jan 23, 2017",0.001942,0.001949,0.001925,0.001926,3.0,816.0
"Jan 24, 2017",0.001903,0.001931,0.001886,0.001902,3.0,799.0
"Jan 25, 2017",0.001025,0.001029,0.001021,0.001028,27.0,430.0
"Jan 26, 2017",0.001029,0.001278,0.001029,0.001275,1.0,432.0
"Jan 27, 2017",0.001275,0.001431,0.001273,0.001426,1.0,536.0
"Jan 28, 2017",0.001426,0.001432,0.001426,0.001428,0.0,599.0
"Jan 29, 2017",0.001428,0.002291,0.001428,0.00229,10.0,600.0
"Jan 30, 2017",0.00229,0.0024,0.002289,0.002394,1.0,962.0
"Jan 31, 2017",0.002393,0.00486,0.002393,0.004852,16.0,1005.0
"Feb 01, 2017",0.004852,0.006529,0.001594,0.00269,106.0,2038.0
"Feb 02, 2017",0.00269,0.004561,0.001722,0.004553,50.0,1130.0
"Feb 03, 2017",0.004552,0.005151,0.00454,0.00515,2.0,1912.0
"Feb 04, 2017",0.005157,0.00517,0.001946,0.00317,4.0,2166.0
"Feb 05, 2017",0.003172,0.003173,0.003108,0.003123,0.0,1332.0
"Feb 06, 2017",0.003126,0.003568,0.003126,0.003561,2.0,1313.0
"Feb 07, 2017",0.003568,0.00364,0.003568,0.00364,2.0,1498.0
"Feb 09, 2017",0.003346,0.003375,0.002193,0.002267,3.0,1405.0
"Feb 10, 2017",0.00227,0.005934,0.002198,0.002996,26.0,953.0
"Feb 11, 2017",0.002996,0.009076,0.002978,0.005233,414.0,1258.0
"Feb 12, 2017",0.005228,0.007154,0.005214,0.007124,1.0,2196.0
"Feb 13, 2017",0.007122,0.008939,0.003216,0.007826,1435.0,2991.0
"Feb 14, 2017",0.007835,0.007841,0.004954,0.005455,11.0,3291.0
"Feb 15, 2017",0.005464,0.005972,0.005449,0.005964,4.0,2295.0
"Feb 16, 2017",0.005965,0.012761,0.005965,0.007017,418.0,2505.0
"Feb 17, 2017",0.007008,0.012522,0.007005,0.012335,31.0,2944.0
"Feb 18, 2017",0.01237,0.012394,0.012241,0.012284,0.0,5195.0
"Feb 19, 2017",0.012288,0.012288,0.007273,0.007304,13.0,5161.0
"Feb 20, 2017",0.007309,0.007364,0.006313,0.006437,7.0,3070.0
"Feb 21, 2017",0.006433,0.006592,0.006418,0.006524,0.0,2702.0
"Feb 22, 2017",0.004946,0.007911,0.004939,0.007856,16.0,2077.0
"Feb 23, 2017",0.007854,0.008985,0.007854,0.008214,24.0,3299.0
"Feb 24, 2017",0.008256,0.00988,0.008215,0.008333,1.0,3467.0
"Feb 25, 2017",0.00831,0.009811,0.008244,0.00978,1.0,3490.0
"Feb 26, 2017",0.009784,0.009964,0.008383,0.008424,1.0,4109.0
"Feb 27, 2017",0.008414,0.009744,0.008411,0.008614,4.0,3534.0
"Feb 28, 2017",0.008619,0.008711,0.00591,0.005912,42.0,3620.0
"Mar 01, 2017",0.005912,0.007356,0.005911,0.006223,51.0,2483.0
"Mar 02, 2017",0.006234,0.00655,0.006188,0.006493,10.0,2618.0
"Mar 03, 2017",0.006491,0.006758,0.006491,0.006757,0.0,2726.0
"Mar 04, 2017",0.00677,0.006781,0.006688,0.006753,1.0,2844.0
"Mar 05, 2017",0.006748,0.006812,0.006407,0.00645,1.0,2834.0
"Mar 06, 2017",0.006451,0.006495,0.006437,0.006477,1.0,2710.0
"Mar 07, 2017",0.007364,0.007372,0.007024,0.007133,2.0,3093.0
"Mar 08, 2017",0.007131,0.007368,0.006812,0.006934,1.0,2995.0
"Mar 09, 2017",0.006937,0.007173,0.005881,0.007119,2.0,2913.0
"Mar 10, 2017",0.007124,0.007597,0.006442,0.006678,4.0,2992.0
"Mar 11, 2017",0.006676,0.007139,0.006676,0.007082,5.0,2804.0
"Mar 12, 2017",0.006094,0.007399,0.006074,0.007365,1.0,2560.0
"Mar 13, 2017",0.007367,0.007461,0.006291,0.006357,1.0,3094.0
"Mar 14, 2017",0.006358,0.006374,0.006299,0.006373,1.0,2670.0
"Mar 15, 2017",0.006428,0.006446,0.006396,0.006435,2.0,2700.0
"Mar 16, 2017",0.006444,0.006468,0.00459,0.005785,11.0,2707.0
"Mar 17, 2017",0.005747,0.009178,0.004112,0.004115,21.0,2414.0
"Mar 18, 2017",0.004113,0.009589,0.003869,0.003934,0.0,1727.0
"Mar 19, 2017",0.003946,0.004271,0.003946,0.004246,0.0,1657.0
"Mar 20, 2017",0.008943,0.014202,0.008943,0.014148,148.0,3756.0
"Mar 21, 2017",0.014163,0.014702,0.00506,0.014567,48.0,5948.0
"Mar 22, 2017",0.014568,0.014568,0.004686,0.004847,10.0,6119.0
"Mar 23, 2017",0.004851,0.013754,0.004754,0.013522,4.0,2038.0
"Mar 24, 2017",0.013521,0.013547,0.004678,0.00766,6.0,5679.0
"Mar 25, 2017",0.007652,0.012714,0.007383,0.012675,45.0,3214.0
"Mar 26, 2017",0.012691,0.013124,0.012424,0.012567,1.0,5330.0
"Mar 27, 2017",0.012637,0.013697,0.012636,0.013689,0.0,5307.0
"Mar 28, 2017",0.013674,0.013892,0.005192,0.008398,9.0,5743.0
"Mar 29, 2017",0.00839,0.009276,0.008147,0.009204,1.0,3524.0
"Mar 30, 2017",0.009224,0.010777,0.008267,0.010736,2.0,3874.0
"Mar 31, 2017",0.010739,0.011738,0.010739,0.011704,0.0,4510.0
