datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-20,9.9e-05,0.000159,8e-05,0.000131,14092.0,0.0
2017-4-21,0.00014,0.0004,0.000127,0.000335,44842.0,90930.0
2017-4-22,0.000335,0.000651,0.000308,0.000591,51666.0,217767.0
2017-4-23,0.000608,0.00072,0.00036,0.000543,75460.0,395190.0
2017-4-24,0.000538,0.000622,0.00042,0.000528,42873.0,349839.0
2017-4-25,0.000528,0.000769,0.000497,0.000721,26087.0,343136.0
2017-4-26,0.000727,0.001469,0.000666,0.001131,121527.0,472860.0
2017-4-27,0.001146,0.001306,0.000874,0.001054,46487.0,744718.0
2017-4-28,0.001047,0.001128,0.000856,0.00109,30885.0,680355.0
2017-4-29,0.001091,0.001759,0.001025,0.001682,48178.0,709176.0
2017-4-30,0.001602,0.002556,0.001288,0.002308,129229.0,1041350.0
2017-5-01,0.002283,0.003365,0.002251,0.002483,174979.0,1483920.0
2017-5-02,0.002482,0.002538,0.001787,0.002277,71854.0,1613180.0
2017-5-03,0.002279,0.002662,0.002011,0.002484,36655.0,1481290.0
2017-5-04,0.002486,0.002606,0.001862,0.002127,55901.0,1615590.0
2017-5-05,0.002131,0.002535,0.001467,0.002358,105881.0,1385320.0
2017-5-06,0.002411,0.002544,0.002012,0.002541,66062.0,1566880.0
2017-5-07,0.002495,0.003776,0.002495,0.003193,67340.0,1621720.0
2017-5-08,0.003449,0.004628,0.003174,0.00425,133471.0,2242080.0
2017-5-09,0.004241,0.004388,0.003483,0.004049,55088.0,2756730.0
2017-5-10,0.004052,0.004226,0.003304,0.004092,45311.0,2633710.0
2017-5-11,0.0041,0.004257,0.003634,0.003986,42807.0,2664720.0
2017-5-12,0.00399,0.004652,0.003885,0.00446,52687.0,2593780.0
2017-5-13,0.004451,0.005171,0.003591,0.005069,102161.0,2893210.0
2017-5-14,0.005195,0.006983,0.004303,0.006864,210193.0,3376670.0
2017-5-15,0.006819,0.008699,0.00572,0.008301,347557.0,4432150.0
2017-5-16,0.008467,0.012263,0.00827,0.009562,421585.0,5503390.0
2017-5-17,0.009516,0.011581,0.007625,0.011198,206212.0,6185360.0
2017-5-18,0.010839,0.011384,0.00854,0.009485,238675.0,7045480.0
2017-5-19,0.009486,0.009878,0.006433,0.006433,132507.0,6165920.0
