datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 04, 2017",0.11587,0.118377,0.11587,0.117875,71051.0,0.0
"Jan 05, 2017",0.118079,0.24418,0.071508,0.122112,25750.0,0.0
"Jan 06, 2017",0.122216,0.19084,0.089712,0.100325,10224.0,0.0
"Jan 07, 2017",0.100468,0.150547,0.096616,0.12084,11166.0,0.0
"Jan 08, 2017",0.120787,0.13133,0.109269,0.112077,4954.0,2816.0
"Jan 09, 2017",0.112329,0.117715,0.089746,0.090283,3458.0,2619.0
"Jan 10, 2017",0.090244,0.111621,0.090224,0.090768,2380.0,2104.0
"Jan 11, 2017",0.090768,0.097878,0.010594,0.078553,1147.0,2116.0
"Jan 12, 2017",0.078293,0.096242,0.076257,0.08454,1242.0,2095.0
"Jan 13, 2017",0.084424,0.159754,0.012034,0.08239,2752.0,2340.0
"Jan 14, 2017",0.082506,0.095985,0.080814,0.080859,3058.0,2390.0
"Jan 15, 2017",0.080832,0.089885,0.080106,0.08144,2064.0,2404.0
"Jan 16, 2017",0.081439,0.087902,0.081289,0.08396,1721.0,2456.0
"Jan 17, 2017",0.083901,0.091047,0.026975,0.090785,705.0,2557.0
"Jan 18, 2017",0.090928,0.091741,0.035221,0.070929,461.0,2809.0
"Jan 19, 2017",0.071067,0.090293,0.044816,0.089997,292.0,2214.0
"Jan 20, 2017",0.089907,0.089959,0.057802,0.083237,854.0,2822.0
"Jan 21, 2017",0.083237,0.093778,0.017511,0.017975,12292.0,2666.0
"Jan 22, 2017",0.055056,0.055312,0.01865,0.024966,79566.0,5156.0
"Jan 23, 2017",0.024989,0.0367,0.017493,0.020069,134651.0,5053.0
"Jan 24, 2017",0.020026,0.021992,0.018908,0.018916,431472.0,5917.0
"Jan 25, 2017",0.0189,0.019121,0.016199,0.017039,543815.0,9186.0
"Jan 26, 2017",0.016965,0.019038,0.010929,0.012443,331866.0,10543.0
"Jan 27, 2017",0.012443,0.013816,0.011539,0.011635,167279.0,9052.0
"Jan 28, 2017",0.011636,0.01292,0.009228,0.01152,88323.0,9142.0
"Jan 29, 2017",0.011526,0.011543,0.009323,0.009324,199192.0,9822.0
"Jan 30, 2017",0.00933,0.01199,0.009324,0.010124,231442.0,8401.0
"Jan 31, 2017",0.010131,0.010916,0.009727,0.010626,153635.0,10145.0
"Feb 01, 2017",0.010632,0.010789,0.009777,0.009911,42317.0,11245.0
"Feb 02, 2017",0.00992,0.010342,0.00991,0.010219,5879.0,10809.0
"Feb 03, 2017",0.010216,0.011099,0.010118,0.010546,6705.0,11227.0
"Feb 04, 2017",0.010561,0.011033,0.010317,0.010585,6676.0,11627.0
"Feb 05, 2017",0.010592,0.012311,0.010419,0.011301,2692.0,11686.0
"Feb 06, 2017",0.011312,0.011384,0.010404,0.010454,4131.0,12648.0
"Feb 07, 2017",0.010474,0.013339,0.010474,0.011654,5924.0,11883.0
