datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.002293,0.003102,0.002196,0.002292,3717.0,242189.0
2017-7-29,0.002365,0.002492,0.001761,0.002092,4938.0,249796.0
2017-7-30,0.002111,0.002212,0.001773,0.002019,1511.0,222944.0
2017-7-31,0.002019,0.002327,0.001677,0.002312,3201.0,213287.0
2017-8-01,0.00232,0.002553,0.001915,0.001951,710.0,245032.0
2017-8-02,0.00195,0.002084,0.001643,0.001687,2537.0,206004.0
2017-8-03,0.001695,0.002002,0.001585,0.001847,1381.0,178983.0
2017-8-04,0.00185,0.002098,0.001647,0.001683,1628.0,195370.0
2017-8-05,0.00169,0.002047,0.001594,0.001997,1015.0,178489.0
2017-8-06,0.002026,0.002064,0.001781,0.002064,740.0,213961.0
2017-8-07,0.00205,0.021957,0.001872,0.001878,2433.0,216467.0
2017-8-08,0.001905,0.002499,0.001722,0.002085,3406.0,201173.0
2017-8-09,0.001942,0.007436,0.001724,0.006123,9307.0,205106.0
2017-8-10,0.006115,0.008332,0.002232,0.003348,10818.0,645821.0
2017-8-11,0.003347,0.005147,0.002235,0.003876,10394.0,353558.0
2017-8-12,0.00387,0.003916,0.002447,0.002621,6145.0,408764.0
2017-8-13,0.002608,0.003881,0.002012,0.003333,11008.0,275449.0
2017-8-14,0.003335,0.00361,0.00207,0.002121,7039.0,352254.0
2017-8-15,0.002126,0.002934,0.001205,0.00251,11090.0,224506.0
2017-8-16,0.002528,0.002699,0.001519,0.002699,18606.0,266995.0
2017-8-17,0.002696,0.002726,0.001923,0.002139,2294.0,284800.0
2017-8-18,0.002113,0.002183,0.001792,0.002161,1334.0,223129.0
2017-8-19,0.002156,0.002203,0.00191,0.002022,1382.0,227744.0
2017-8-20,0.002015,0.002219,0.001866,0.001921,2584.0,212786.0
2017-8-21,0.00202,0.002159,0.001872,0.001883,1088.0,213383.0
2017-8-22,0.001896,0.002114,0.001735,0.00184,815.0,200217.0
2017-8-23,0.001837,0.001899,0.001306,0.001545,1401.0,194060.0
2017-8-24,0.001727,0.002146,0.001704,0.002143,2275.0,182455.0
2017-8-25,0.002135,0.003954,0.00177,0.003452,3975.0,225524.0
2017-8-26,0.003537,0.003612,0.002433,0.002788,1287.0,373580.0
