datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.005734,0.006462,0.005484,0.0057,301.0,23696.0
2017-1-02,0.0057,0.008192,0.005699,0.007623,8370.0,23756.0
2017-1-03,0.007622,0.007914,0.00612,0.00616,2284.0,32032.0
2017-1-04,0.006159,0.006874,0.006042,0.006483,250.0,26107.0
2017-1-05,0.00649,0.007021,0.003532,0.004175,540.0,27740.0
2017-1-06,0.004179,0.005476,0.003612,0.003798,213.0,18013.0
2017-1-07,0.003749,0.008026,0.003335,0.004924,3313.0,16298.0
2017-1-08,0.004925,0.00671,0.004869,0.004932,2775.0,21585.0
2017-1-09,0.00492,0.005777,0.004287,0.004426,702.0,21745.0
2017-1-10,0.004422,0.006277,0.004422,0.005509,820.0,19701.0
2017-1-11,0.00551,0.005677,0.004752,0.004947,526.0,24747.0
2017-1-12,0.004947,0.005378,0.004686,0.004958,306.0,22397.0
2017-1-13,0.004975,0.006624,0.004879,0.006583,577.0,22707.0
2017-1-14,0.006592,0.010471,0.006193,0.010471,1581.0,30319.0
2017-1-15,0.011491,0.012249,0.004894,0.00549,3414.0,53274.0
2017-1-16,0.00535,0.008414,0.00535,0.0069,1273.0,25000.0
2017-1-17,0.006902,0.007881,0.006401,0.006551,485.0,32392.0
2017-1-18,0.006566,0.007575,0.006137,0.006313,368.0,30934.0
2017-1-19,0.006313,0.006931,0.006288,0.006512,240.0,29857.0
2017-1-20,0.006509,0.007333,0.006441,0.006534,285.0,30892.0
2017-1-21,0.006534,0.007511,0.006534,0.006748,317.0,31007.0
2017-1-22,0.006751,0.007639,0.006585,0.006964,167.0,32036.0
2017-1-23,0.006963,0.009437,0.006895,0.008294,1404.0,33044.0
2017-1-24,0.008196,0.009408,0.006656,0.006704,575.0,38897.0
2017-1-25,0.006704,0.008005,0.006679,0.007393,390.0,31816.0
2017-1-26,0.0074,0.007973,0.00702,0.007597,446.0,35925.0
2017-1-27,0.007598,0.008198,0.007241,0.007404,151.0,37012.0
2017-1-28,0.007404,0.00825,0.005684,0.007557,555.0,36205.0
2017-1-29,0.007557,0.008253,0.00623,0.007218,486.0,37086.0
2017-1-30,0.007218,0.008241,0.00654,0.007578,393.0,35551.0
2017-1-31,0.007575,0.00858,0.006593,0.00787,575.0,37434.0
2017-2-01,0.00853,0.010861,0.007892,0.010861,588.0,42298.0
2017-2-02,0.010859,0.01199,0.008933,0.01199,1257.0,54045.0
2017-2-03,0.012138,0.015322,0.010007,0.011834,2001.0,60626.0
2017-2-04,0.01185,0.011864,0.008415,0.010429,415.0,59406.0
2017-2-05,0.010435,0.012356,0.009483,0.010469,3110.0,52499.0
2017-2-06,0.010479,0.010552,0.009533,0.009541,642.0,52906.0
2017-2-07,0.009559,0.010798,0.009037,0.009839,1740.0,48430.0
2017-2-08,0.009848,0.010919,0.008955,0.010546,379.0,50067.0
2017-2-09,0.010562,0.010982,0.008947,0.009039,178.0,53888.0
2017-2-10,0.00905,0.012776,0.00897,0.010984,704.0,46337.0
2017-2-11,0.010987,0.013491,0.009674,0.013359,436.0,56448.0
2017-2-12,0.013347,0.014064,0.011606,0.013299,1262.0,68814.0
2017-2-13,0.013295,0.013793,0.01094,0.01374,131.0,68792.0
2017-2-14,0.013755,0.01403,0.009085,0.011392,1105.0,71402.0
2017-2-15,0.01141,0.011428,0.009148,0.010065,50.0,59230.0
2017-2-16,0.010066,0.012468,0.009252,0.01161,313.0,52253.0
2017-2-17,0.011595,0.015776,0.009806,0.010598,1470.0,60189.0
2017-2-18,0.010629,0.014854,0.010621,0.013096,493.0,55171.0
2017-2-19,0.0131,0.017301,0.011749,0.0162,2783.0,69184.0
2017-2-20,0.016213,0.016704,0.012673,0.016696,1442.0,85919.0
2017-2-21,0.016686,0.017206,0.016485,0.017176,256.0,88728.0
2017-2-22,0.017168,0.017226,0.014136,0.014136,1429.0,91605.0
2017-2-23,0.014134,0.016574,0.013883,0.015051,234.0,75674.0
2017-2-24,0.015128,0.020547,0.012565,0.020539,729.0,81275.0
2017-2-25,0.020482,0.026681,0.014554,0.019319,4990.0,110412.0
2017-2-26,0.019327,0.024425,0.017889,0.017921,438.0,104535.0
2017-2-27,0.017899,0.021847,0.014297,0.014313,465.0,97136.0
2017-2-28,0.014322,0.015271,0.011298,0.014089,684.0,77987.0
2017-3-01,0.01409,0.019071,0.011334,0.018337,303.0,76977.0
2017-3-02,0.01837,0.019249,0.012497,0.018765,639.0,100701.0
2017-3-03,0.018761,0.019001,0.008027,0.009843,1275.0,103183.0
2017-3-04,0.009862,0.013592,0.008774,0.011861,1408.0,54421.0
2017-3-05,0.011853,0.011947,0.009667,0.011822,238.0,65624.0
2017-3-06,0.011825,0.012475,0.010167,0.01241,184.0,65689.0
2017-3-07,0.012414,0.012415,0.007663,0.008773,1428.0,69182.0
2017-3-08,0.008771,0.010473,0.008325,0.009073,335.0,49038.0
2017-3-09,0.009076,0.009648,0.007406,0.009603,134.0,50914.0
2017-3-10,0.00961,0.009734,0.007751,0.008822,83.0,54083.0
2017-3-11,0.008819,0.009149,0.006485,0.009148,341.0,49793.0
2017-3-12,0.009154,0.009194,0.006945,0.008305,137.0,51851.0
2017-3-13,0.008308,0.009617,0.00746,0.009609,159.0,47210.0
2017-3-14,0.009611,0.009693,0.008105,0.00966,37.0,54786.0
2017-3-15,0.009661,0.009957,0.008301,0.008372,77.0,55249.0
2017-3-16,0.008384,0.009795,0.008187,0.009491,74.0,48100.0
2017-3-17,0.009429,0.009478,0.007845,0.00878,137.0,54247.0
2017-3-18,0.008776,0.00889,0.007361,0.008277,72.0,50485.0
2017-3-19,0.008302,0.011234,0.007973,0.008605,306.0,47762.0
2017-3-20,0.008609,0.010346,0.008604,0.008824,60.0,49528.0
2017-3-21,0.008833,0.00926,0.008833,0.009244,88.0,50818.0
2017-3-22,0.009245,0.009428,0.008621,0.008918,1.0,53188.0
2017-3-23,0.008925,0.008951,0.008315,0.008329,24.0,51347.0
2017-3-24,0.008328,0.009764,0.005685,0.006685,299.0,47913.0
2017-3-25,0.006678,0.007353,0.006286,0.006586,36.0,38415.0
2017-3-26,0.006594,0.007428,0.006555,0.00725,7.0,37935.0
2017-3-27,0.00729,0.007934,0.00729,0.007749,9.0,43279.0
2017-3-28,0.00774,0.008156,0.007594,0.007728,9.0,46093.0
2017-3-29,0.00772,0.008013,0.007281,0.007987,14.0,46112.0
2017-3-30,0.008004,0.008059,0.007153,0.007185,18.0,47956.0
2017-3-31,0.007186,0.008223,0.007186,0.008199,1.0,43189.0
2017-4-01,0.008199,0.008351,0.007478,0.00832,28.0,49422.0
2017-4-02,0.008321,0.008477,0.007919,0.007936,41.0,50309.0
2017-4-03,0.008471,0.008868,0.007564,0.008807,55.0,51371.0
2017-4-04,0.008821,0.008883,0.007693,0.008681,2.0,53653.0
2017-4-05,0.008688,0.008695,0.007362,0.007401,35.0,53004.0
2017-4-06,0.007408,0.008544,0.00691,0.008503,75.0,45330.0
2017-4-07,0.008477,0.008477,0.007122,0.007132,16.0,52026.0
2017-4-08,0.007106,0.007658,0.006504,0.006773,117.0,43744.0
2017-4-09,0.006777,0.008129,0.006772,0.008066,12.0,41840.0
2017-4-10,0.008062,0.008082,0.007844,0.007883,1.0,49921.0
2017-4-11,0.007885,0.008408,0.006896,0.006965,46.0,48965.0
2017-4-12,0.006964,0.007652,0.006942,0.007622,29.0,43374.0
2017-4-13,0.007626,0.008299,0.006654,0.006723,49.0,47619.0
2017-4-14,0.006729,0.008164,0.006721,0.00725,43.0,42017.0
2017-4-15,0.007249,0.008183,0.007234,0.007305,33.0,45261.0
2017-4-16,0.007305,0.008258,0.006852,0.006873,50.0,45614.0
2017-4-17,0.007857,0.008358,0.007573,0.008345,37.0,49057.0
2017-4-18,0.008344,0.008412,0.007833,0.0079,46.0,52101.0
2017-4-19,0.007903,0.008452,0.007873,0.007903,32.0,49346.0
2017-4-20,0.007908,0.007971,0.006823,0.006834,77.0,49379.0
2017-4-21,0.006836,0.007873,0.006746,0.006782,156.0,42680.0
2017-4-22,0.006786,0.006857,0.006171,0.006171,29.0,42371.0
2017-4-23,0.006172,0.00748,0.003993,0.003996,206.0,38537.0
2017-4-24,0.004004,0.007513,0.004004,0.005213,166.0,25000.0
2017-4-25,0.005214,0.005853,0.004382,0.004492,51.0,32558.0
2017-4-26,0.004494,0.007844,0.004494,0.00784,76.0,28061.0
2017-4-27,0.007845,0.007943,0.005212,0.005534,8.0,48984.0
2017-4-28,0.005535,0.007809,0.004229,0.004805,443.0,34557.0
2017-4-29,0.00481,0.005828,0.004259,0.004309,216.0,30034.0
2017-4-30,0.004309,0.005388,0.004287,0.004798,83.0,26907.0
2017-5-01,0.0048,0.005762,0.0048,0.005715,18.0,29970.0
2017-5-02,0.005713,0.006087,0.005157,0.005971,3.0,35668.0
2017-5-03,0.005975,0.007464,0.005222,0.00745,56.0,37307.0
2017-5-04,0.007454,0.011072,0.006154,0.008011,392.0,46539.0
2017-5-05,0.008028,0.0103,0.007096,0.009566,63.0,50125.0
2017-5-06,0.009029,0.009899,0.007206,0.009899,50.0,56379.0
2017-5-07,0.009903,0.010858,0.007722,0.00784,1765.0,61835.0
2017-5-08,0.007841,0.009979,0.007303,0.007583,58.0,48957.0
2017-5-09,0.007585,0.009119,0.007519,0.00753,11.0,47360.0
2017-5-10,0.007535,0.007552,0.007042,0.007085,25.0,47050.0
2017-5-11,0.007098,0.009169,0.00702,0.007374,23.0,44317.0
2017-5-12,0.007382,0.008088,0.005916,0.006049,118.0,46090.0
