datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.388717,0.403702,0.379257,0.392851,2936.0,155603.0
2017-1-02,0.392989,0.465394,0.383748,0.409965,8232.0,160153.0
2017-1-03,0.409792,0.424124,0.386181,0.407882,1592.0,169920.0
2017-1-04,0.408131,0.444227,0.377787,0.421588,9634.0,172083.0
2017-1-05,0.422339,0.493841,0.349528,0.372201,5771.0,181099.0
2017-1-06,0.372516,0.38982,0.323606,0.331028,4362.0,162445.0
2017-1-07,0.3315,0.344417,0.303193,0.335189,2175.0,146884.0
2017-1-08,0.335043,0.369356,0.33236,0.358406,3550.0,150815.0
2017-1-09,0.35647,0.386407,0.3468,0.351785,3633.0,163005.0
2017-1-10,0.351638,0.685395,0.351559,0.370099,2464.0,163327.0
2017-1-11,0.370104,0.425237,0.345344,0.377319,9250.0,174532.0
2017-1-12,0.37607,0.638664,0.360989,0.512988,12235.0,180076.0
2017-1-13,0.512289,0.642293,0.463194,0.593843,12519.0,249068.0
2017-1-14,0.648023,1.17,0.593494,0.850386,43014.0,319743.0
2017-1-15,0.849859,0.985309,0.707373,0.795483,21247.0,425546.0
2017-1-16,0.79544,0.804974,0.710756,0.746813,8356.0,403865.0
2017-1-17,0.747113,1.08,0.745717,0.939071,13621.0,384679.0
2017-1-18,0.986857,1.32,0.88737,0.999183,33898.0,515324.0
2017-1-19,0.998934,1.16,0.998934,1.05,8684.0,528661.0
2017-1-20,1.04,1.16,1.03,1.07,9598.0,560115.0
2017-1-21,1.07,1.11,1.02,1.02,20464.0,580394.0
2017-1-22,1.02,1.07,0.919979,0.929298,10883.0,561239.0
2017-1-23,0.931803,1.01,0.921772,0.926911,7377.0,519608.0
2017-1-24,0.915921,0.955955,0.892286,0.892687,8174.0,517369.0
2017-1-25,0.892687,0.899514,0.766454,0.823663,20339.0,510539.0
2017-1-26,0.882416,0.883435,0.798222,0.831166,7664.0,510941.0
2017-1-27,0.830963,0.986901,0.790355,0.799989,9377.0,487048.0
2017-1-28,0.799976,1.04,0.797481,0.827619,6549.0,474576.0
2017-1-29,0.828047,0.849034,0.800066,0.800344,7909.0,497232.0
2017-1-30,0.800892,0.876074,0.750735,0.774101,12099.0,486442.0
2017-1-31,0.774213,0.852462,0.774213,0.846558,12794.0,475715.0
2017-2-01,0.846558,0.856355,0.780039,0.803997,11462.0,526178.0
2017-2-02,0.805529,0.83021,0.723079,0.723079,19012.0,506426.0
2017-2-03,0.722838,0.773711,0.720487,0.738637,7944.0,459255.0
2017-2-04,0.739661,0.80667,0.699356,0.80667,12590.0,475417.0
2017-2-05,0.769715,0.806709,0.69297,0.697864,11543.0,500093.0
2017-2-06,0.698598,0.710418,0.616234,0.617131,10622.0,458926.0
2017-2-07,0.618296,0.722065,0.584449,0.719332,9706.0,410425.0
2017-2-08,0.719967,0.859872,0.685815,0.784162,16150.0,483062.0
2017-2-09,0.785327,0.826337,0.685412,0.77928,13020.0,532619.0
2017-2-10,0.780238,0.862951,0.698699,0.721,13654.0,534912.0
2017-2-11,0.721227,0.795377,0.717291,0.777682,7903.0,499513.0
2017-2-12,0.776948,0.793455,0.741012,0.741197,7125.0,543679.0
2017-2-13,0.741529,0.811841,0.734022,0.735469,8259.0,523964.0
2017-2-14,0.736316,0.797161,0.732547,0.737363,5378.0,525555.0
2017-2-15,0.738576,0.786518,0.710291,0.744007,6832.0,532402.0
2017-2-16,0.744067,0.773808,0.708535,0.713004,7817.0,541625.0
2017-2-17,0.712299,0.759374,0.662906,0.662906,10763.0,523326.0
2017-2-18,0.664815,0.669737,0.596967,0.605877,7464.0,493417.0
2017-2-19,0.606072,0.638357,0.570428,0.570428,4904.0,454046.0
2017-2-20,0.570874,0.5779,0.501554,0.542607,5984.0,431674.0
2017-2-21,0.542256,0.624988,0.541059,0.585667,8267.0,413911.0
2017-2-22,0.5854,0.598492,0.552861,0.571835,5164.0,451175.0
2017-2-23,0.571749,0.656189,0.559728,0.582376,8703.0,444642.0
2017-2-24,0.648729,0.648729,0.538976,0.53982,6952.0,509025.0
2017-2-25,0.538308,0.572583,0.512025,0.514874,2794.0,426259.0
2017-2-26,0.515067,0.53064,0.442969,0.456431,5233.0,411513.0
2017-2-27,0.455964,0.704809,0.445435,0.702599,11492.0,367570.0
2017-2-28,0.655618,0.926087,0.607425,0.879913,62749.0,533222.0
2017-3-01,0.877397,1.21,0.876327,1.2,44536.0,720047.0
2017-3-02,1.17,1.7,1.14,1.37,101791.0,965046.0
2017-3-03,1.37,1.62,1.01,1.19,53658.0,1139360.0
2017-3-04,1.19,1.23,0.911757,0.941144,34300.0,987078.0
2017-3-05,0.922116,0.939409,0.834469,0.885556,18576.0,764630.0
2017-3-06,0.8858,0.948478,0.868371,0.899513,11664.0,734516.0
2017-3-07,0.899782,0.939257,0.836227,0.853693,8843.0,746110.0
2017-3-08,0.853477,0.897581,0.808603,0.841467,9216.0,707714.0
2017-3-09,0.841723,1.19,0.814468,1.13,22291.0,697967.0
2017-3-10,1.13,1.13,0.782307,0.84528,23111.0,934066.0
2017-3-11,0.884043,1.07,0.811461,0.8904,30567.0,733060.0
2017-3-12,0.895568,1.1,0.838796,1.1,27169.0,742616.0
