datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Mar 20, 2017",0.091948,0.096231,0.085411,0.090732,1976.0,19603.0
"Mar 21, 2017",0.090811,0.5504,0.086273,0.254755,19094.0,19532.0
"Mar 22, 2017",0.280163,0.506378,0.187344,0.398589,22990.0,62426.0
"Mar 23, 2017",0.305565,0.681242,0.29636,0.669891,42467.0,70271.0
"Mar 24, 2017",0.6698,0.6698,0.269644,0.377886,34227.0,158970.0
"Mar 25, 2017",0.376508,0.406549,0.192065,0.257174,20443.0,92139.0
"Mar 26, 2017",0.2575,0.346129,0.155469,0.221283,7674.0,64859.0
"Mar 27, 2017",0.222503,0.234366,0.158147,0.224077,1409.0,57602.0
"Mar 28, 2017",0.20689,0.324495,0.206745,0.290249,2987.0,55031.0
"Mar 29, 2017",0.300277,0.3906,0.274773,0.282674,3323.0,82036.0
"Mar 30, 2017",0.297405,0.384713,0.278255,0.320267,4053.0,83389.0
"Mar 31, 2017",0.320332,0.386053,0.305458,0.38563,3377.0,92121.0
"Apr 01, 2017",0.372151,0.384507,0.287553,0.292794,1638.0,109692.0
"Apr 02, 2017",0.289841,0.323349,0.275623,0.282916,1286.0,87500.0
"Apr 03, 2017",0.283116,0.295305,0.272459,0.277271,955.0,87514.0
"Apr 04, 2017",0.300665,0.3016,0.230308,0.23235,964.0,95112.0
"Apr 05, 2017",0.232533,0.234426,0.123293,0.12647,504.0,75231.0
"Apr 06, 2017",0.126586,0.173446,0.095251,0.102113,557.0,41863.0
"Apr 07, 2017",0.10179,0.176342,0.09759,0.132013,250.0,34383.0
"Apr 08, 2017",0.132064,0.233117,0.129081,0.182037,591.0,45573.0
"Apr 09, 2017",0.177227,0.227557,0.130679,0.151418,628.0,62442.0
"Apr 10, 2017",0.151345,0.168546,0.130013,0.131688,409.0,54399.0
"Apr 11, 2017",0.131725,0.169911,0.131239,0.165653,2074.0,48293.0
"Apr 12, 2017",0.165469,0.222711,0.16507,0.174786,1052.0,61854.0
"Apr 13, 2017",0.174881,0.222758,0.172027,0.173895,603.0,66628.0
"Apr 14, 2017",0.174051,0.248507,0.173194,0.173268,613.0,67570.0
"Apr 15, 2017",0.173742,0.2362,0.118786,0.199528,1513.0,68703.0
"Apr 16, 2017",0.200165,0.34173,0.177123,0.286271,3343.0,80570.0
"Apr 17, 2017",0.286346,0.341665,0.270033,0.275853,685.0,117316.0
"Apr 18, 2017",0.275522,0.326952,0.229896,0.23092,1091.0,114893.0
"Apr 19, 2017",0.231008,0.303442,0.161109,0.296787,1592.0,97973.0
"Apr 20, 2017",0.297235,0.339939,0.288949,0.289891,950.0,128239.0
"Apr 21, 2017",0.289541,0.3211,0.267906,0.305904,1251.0,126949.0
"Apr 22, 2017",0.305678,0.320222,0.242457,0.301757,1601.0,136290.0
"Apr 23, 2017",0.271035,0.331931,0.270099,0.278407,1585.0,122782.0
"Apr 24, 2017",0.278965,0.30492,0.276698,0.277496,750.0,128343.0
"Apr 25, 2017",0.27755,0.288302,0.254432,0.254819,706.0,129707.0
"Apr 26, 2017",0.25492,0.262219,0.243198,0.243724,1850.0,120982.0
"Apr 27, 2017",0.244362,0.258443,0.209585,0.211166,1323.0,117707.0
"Apr 28, 2017",0.212143,0.265456,0.193927,0.198301,972.0,103719.0
"Apr 29, 2017",0.197689,0.262846,0.197566,0.21156,650.0,98085.0
"Apr 30, 2017",0.211575,0.261359,0.198716,0.203558,761.0,106473.0
"May 01, 2017",0.203175,0.382363,0.202738,0.332998,5135.0,103727.0
"May 02, 2017",0.332837,0.434772,0.322124,0.356273,3299.0,172316.0
"May 03, 2017",0.356958,0.425596,0.356779,0.402324,795.0,187357.0
"May 04, 2017",0.403762,0.405716,0.346911,0.358291,1149.0,214838.0
"May 05, 2017",0.358517,0.400996,0.326038,0.329289,740.0,193363.0
"May 06, 2017",0.328674,0.385916,0.327109,0.337405,822.0,179597.0
"May 07, 2017",0.337801,0.353217,0.297728,0.349355,1924.0,187010.0
"May 08, 2017",0.349405,0.357585,0.305216,0.336174,556.0,195957.0
"May 09, 2017",0.336676,0.343944,0.253329,0.284403,2250.0,191242.0
"May 10, 2017",0.284486,0.348502,0.276278,0.290728,749.0,163605.0
"May 11, 2017",0.291531,0.346632,0.187176,0.219805,1334.0,169750.0
"May 12, 2017",0.220274,0.250006,0.172238,0.183056,345.0,129847.0
"May 13, 2017",0.182677,0.193193,0.173088,0.192803,176.0,108991.0
"May 14, 2017",0.192442,0.225475,0.192312,0.198011,265.0,116183.0
"May 15, 2017",0.198539,0.224104,0.178397,0.179865,814.0,121301.0
"May 16, 2017",0.178907,0.202267,0.16967,0.199799,665.0,110593.0
"May 17, 2017",0.199745,0.1998,0.179728,0.179728,362.0,124909.0
"May 18, 2017",0.179632,0.21966,0.17948,0.186807,265.0,113608.0
"May 19, 2017",0.186915,0.196281,0.120523,0.196281,604.0,119571.0
"May 20, 2017",0.196068,0.202613,0.138449,0.202613,350.0,126825.0
"May 21, 2017",0.20254,0.20339,0.153791,0.201409,1267.0,132461.0
"May 22, 2017",0.202077,0.224211,0.162989,0.210805,1630.0,133710.0
"May 23, 2017",0.200179,0.213835,0.182547,0.212073,339.0,133896.0
"May 24, 2017",0.212329,0.241966,0.194848,0.235665,2233.0,143549.0
"May 25, 2017",0.235221,0.261599,0.17963,0.18447,304.0,160708.0
"May 26, 2017",0.183116,0.309737,0.183116,0.251505,2223.0,126412.0
"May 27, 2017",0.252341,0.254808,0.171712,0.185305,298.0,176036.0
"May 28, 2017",0.186412,0.208033,0.167456,0.174033,1023.0,131387.0
"May 29, 2017",0.17368,0.210122,0.168884,0.205749,25.0,123655.0
"May 30, 2017",0.205988,0.209706,0.172499,0.174526,632.0,148134.0
"May 31, 2017",0.175211,0.235418,0.175211,0.222034,1246.0,127247.0
"Jun 01, 2017",0.222225,0.262237,0.220275,0.227865,176.0,162966.0
"Jun 02, 2017",0.227968,0.252066,0.225161,0.235392,438.0,168833.0
"Jun 03, 2017",0.235288,0.266048,0.230937,0.242101,986.0,175930.0
"Jun 04, 2017",0.241447,0.264063,0.237914,0.243004,289.0,182288.0
"Jun 05, 2017",0.243048,0.294016,0.221428,0.268666,1566.0,185215.0
"Jun 06, 2017",0.26948,0.365679,0.259233,0.343422,6819.0,207306.0
"Jun 07, 2017",0.34351,0.365496,0.276322,0.361425,7682.0,266753.0
"Jun 08, 2017",0.363242,0.459189,0.264271,0.448666,11969.0,284676.0
"Jun 09, 2017",0.447956,0.564429,0.345697,0.476846,13069.0,354324.0
"Jun 10, 2017",0.477563,0.482622,0.421268,0.435387,1374.0,381157.0
"Jun 11, 2017",0.435136,0.471808,0.295263,0.399016,6517.0,350476.0
"Jun 12, 2017",0.398486,0.399195,0.141949,0.29146,11939.0,323814.0
"Jun 13, 2017",0.290486,0.36919,0.216939,0.311245,3958.0,238114.0
"Jun 14, 2017",0.311063,0.345248,0.251545,0.319473,2639.0,257199.0
"Jun 15, 2017",0.319458,0.336896,0.250774,0.253634,3243.0,266447.0
"Jun 16, 2017",0.253447,0.324446,0.243329,0.324241,188.0,213195.0
"Jun 17, 2017",0.324241,0.335957,0.265513,0.281076,1225.0,275080.0
"Jun 18, 2017",0.281076,0.335757,0.281076,0.295589,815.0,240455.0
"Jun 19, 2017",0.295589,0.33773,0.295364,0.318795,1167.0,255022.0
"Jun 20, 2017",0.318795,0.374701,0.318795,0.324741,1448.0,277329.0
"Jun 21, 2017",0.324741,0.373177,0.317247,0.330386,1798.0,284873.0
"Jun 22, 2017",0.330386,0.374451,0.317546,0.334308,2319.0,292194.0
"Jun 23, 2017",0.334308,0.401004,0.334308,0.352476,445.0,298049.0
"Jun 24, 2017",0.352436,0.382324,0.274243,0.275364,2137.0,316780.0
"Jun 25, 2017",0.274732,0.351976,0.270441,0.308944,1107.0,248894.0
"Jun 26, 2017",0.308782,0.335066,0.226087,0.226087,4637.0,281940.0
"Jun 27, 2017",0.231425,0.288295,0.208681,0.258248,1553.0,212865.0
"Jun 28, 2017",0.259932,0.313779,0.2234,0.287643,1623.0,241115.0
"Jun 29, 2017",0.287367,0.291604,0.252721,0.252721,417.0,268636.0
"Jun 30, 2017",0.253224,0.279,0.235288,0.267346,1123.0,238501.0
"Jul 01, 2017",0.267243,0.268726,0.226736,0.228771,1308.0,253649.0
"Jul 02, 2017",0.228744,0.262152,0.217744,0.261062,172.0,218748.0
"Jul 03, 2017",0.260101,0.270026,0.225205,0.266943,2093.0,250579.0
"Jul 04, 2017",0.266336,0.376044,0.24721,0.334648,8376.0,258527.0
"Jul 05, 2017",0.337092,0.521103,0.325987,0.433868,17479.0,329659.0
"Jul 06, 2017",0.434083,0.515771,0.361384,0.38949,5796.0,427655.0
"Jul 07, 2017",0.389776,0.510628,0.386805,0.46239,4558.0,386830.0
"Jul 08, 2017",0.462779,0.462827,0.345784,0.352545,1455.0,462617.0
"Jul 09, 2017",0.35282,0.507454,0.341861,0.40096,7073.0,355191.0
"Jul 10, 2017",0.401741,0.462749,0.359185,0.367843,4031.0,407353.0
"Jul 11, 2017",0.367059,0.413169,0.259525,0.35665,11743.0,374789.0
"Jul 12, 2017",0.356121,0.450083,0.310718,0.38159,3516.0,366228.0
"Jul 13, 2017",0.381875,0.455243,0.38066,0.409396,2505.0,395462.0
"Jul 14, 2017",0.409096,0.469233,0.374084,0.414057,7956.0,426602.0
"Jul 15, 2017",0.413346,0.439487,0.376032,0.376326,4973.0,434018.0
"Jul 16, 2017",0.375195,0.420187,0.305889,0.354029,4330.0,396626.0
"Jul 17, 2017",0.353638,0.614516,0.346883,0.610431,6951.0,376369.0
"Jul 18, 2017",0.615705,0.617933,0.435499,0.469181,2574.0,659746.0
"Jul 19, 2017",0.469928,0.511769,0.404736,0.429783,2007.0,506916.0
"Jul 20, 2017",0.428491,0.5432,0.406244,0.467344,3958.0,465298.0
"Jul 21, 2017",0.470805,0.510244,0.414599,0.435086,2664.0,514637.0
"Jul 22, 2017",0.434999,0.50552,0.414044,0.484659,2789.0,478629.0
"Jul 23, 2017",0.48466,0.5106,0.408287,0.475102,4260.0,536800.0
"Jul 24, 2017",0.474549,0.499559,0.416582,0.417899,1348.0,529004.0
"Jul 25, 2017",0.417854,0.453053,0.295819,0.332713,2413.0,468778.0
"Jul 26, 2017",0.332864,0.370078,0.32167,0.335028,747.0,375806.0
"Jul 27, 2017",0.335978,0.383802,0.334685,0.380146,938.0,381728.0
"Jul 28, 2017",0.381299,0.427171,0.360493,0.427171,1197.0,435969.0
"Jul 29, 2017",0.425551,0.491365,0.36583,0.387729,2600.0,489664.0
"Jul 30, 2017",0.387674,0.443994,0.360933,0.367665,1474.0,448896.0
"Jul 31, 2017",0.368024,0.391676,0.338274,0.341394,2308.0,428730.0
"Aug 01, 2017",0.341559,0.368004,0.30623,0.354771,1229.0,400399.0
"Aug 02, 2017",0.354701,0.364721,0.336163,0.352166,1059.0,418370.0
"Aug 03, 2017",0.352837,0.403872,0.352477,0.390556,1270.0,417787.0
"Aug 04, 2017",0.390458,0.487639,0.354573,0.428377,4856.0,465110.0
"Aug 05, 2017",0.428188,0.507608,0.427871,0.459025,7425.0,513144.0
"Aug 06, 2017",0.459136,0.494244,0.407446,0.451807,2640.0,553544.0
"Aug 07, 2017",0.450797,0.496628,0.416481,0.423537,2714.0,546714.0
"Aug 08, 2017",0.423965,0.429863,0.334984,0.383192,4840.0,517271.0
"Aug 09, 2017",0.382933,0.383849,0.324733,0.364351,2492.0,470001.0
"Aug 10, 2017",0.364385,0.437544,0.348873,0.358781,1306.0,449852.0
"Aug 11, 2017",0.35876,0.404385,0.33602,0.353665,1119.0,445505.0
"Aug 12, 2017",0.35339,0.578891,0.349492,0.56057,5127.0,441366.0
"Aug 13, 2017",0.56005,0.567016,0.366613,0.384871,2847.0,703568.0
"Aug 14, 2017",0.385116,0.408213,0.318126,0.326074,2168.0,486605.0
"Aug 15, 2017",0.326951,0.421018,0.289753,0.315459,731.0,415437.0
"Aug 16, 2017",0.315804,0.389553,0.30309,0.33828,854.0,403563.0
"Aug 17, 2017",0.337968,0.366229,0.323047,0.334823,598.0,434309.0
"Aug 18, 2017",0.3338,0.347796,0.298687,0.308403,1077.0,431409.0
"Aug 19, 2017",0.30814,0.320909,0.281903,0.28262,719.0,400471.0
"Aug 20, 2017",0.281301,0.331608,0.274807,0.290988,1261.0,367599.0
"Aug 21, 2017",0.289884,0.292107,0.241042,0.241497,1100.0,380927.0
"Aug 22, 2017",0.242056,0.272246,0.219381,0.23569,1845.0,319800.0
